Time (s)	1.000000e+04	dt_sampled - EXTRA_TIME	3.750000e+03
 i	 Vol	 Z	 Uavg	 Vavg	 Wavg	 Urms	 Vrms	 Wrms	 UVmean	 UWmean	 VWmean
0	7.200000e+04	6.247349e-01	4.288336e+00	5.975059e-01	-1.255366e-02	4.412840e-01	2.502126e-01	9.523715e-02	1.285109e-02	-1.265551e-02	-1.666476e-03
1	7.200000e+04	1.875637e+00	5.065922e+00	7.109151e-01	8.091887e-03	4.914726e-01	2.657210e-01	1.178002e-01	1.623994e-02	-2.380603e-02	-2.952607e-03
2	7.200000e+04	3.125806e+00	5.287059e+00	7.404519e-01	-7.467531e-03	4.604193e-01	2.620940e-01	1.436661e-01	1.207050e-02	-2.377368e-02	-2.566438e-03
3	7.200000e+04	4.374590e+00	5.436138e+00	7.553000e-01	6.454821e-03	4.372859e-01	2.581767e-01	1.607048e-01	8.062037e-03	-2.478057e-02	-2.577143e-03
4	7.200000e+04	5.626863e+00	5.532553e+00	7.618516e-01	-5.575318e-03	4.196863e-01	2.536055e-01	1.707864e-01	4.604212e-03	-2.481605e-02	-2.309867e-03
5	7.200000e+04	6.876738e+00	5.609482e+00	7.658052e-01	4.957961e-03	4.081871e-01	2.500094e-01	1.770626e-01	2.099093e-03	-2.485234e-02	-2.144773e-03
6	7.200000e+04	8.127151e+00	5.669474e+00	7.681255e-01	-4.344775e-03	3.998059e-01	2.460593e-01	1.803252e-01	2.204666e-04	-2.485446e-02	-1.939564e-03
7	7.200000e+04	9.375942e+00	5.721385e+00	7.706507e-01	3.893873e-03	3.939357e-01	2.424785e-01	1.823510e-01	-1.373787e-03	-2.464297e-02	-1.717301e-03
8	7.200000e+04	1.062404e+01	5.766884e+00	7.734684e-01	-3.447483e-03	3.895747e-01	2.390335e-01	1.832944e-01	-2.810383e-03	-2.459487e-02	-1.521818e-03
9	7.200000e+04	1.187262e+01	5.808246e+00	7.757040e-01	3.101692e-03	3.862559e-01	2.365832e-01	1.837761e-01	-3.915150e-03	-2.434085e-02	-1.333558e-03
10	7.200000e+04	1.312173e+01	5.846519e+00	7.771954e-01	-2.769799e-03	3.832608e-01	2.350779e-01	1.839770e-01	-4.975769e-03	-2.425934e-02	-1.166265e-03
11	7.200000e+04	1.437005e+01	5.882457e+00	7.783101e-01	2.508585e-03	3.808178e-01	2.340671e-01	1.838669e-01	-5.948103e-03	-2.399366e-02	-9.848371e-04
12	7.200000e+04	1.562164e+01	5.916087e+00	7.793509e-01	-2.250405e-03	3.782990e-01	2.329716e-01	1.837870e-01	-6.959176e-03	-2.389597e-02	-8.246922e-04
13	7.200000e+04	1.687398e+01	5.947880e+00	7.800986e-01	2.039155e-03	3.761609e-01	2.316766e-01	1.835373e-01	-7.837497e-03	-2.364208e-02	-6.623014e-04
14	7.200000e+04	1.811819e+01	5.978394e+00	7.804294e-01	-1.837434e-03	3.743682e-01	2.305329e-01	1.833104e-01	-8.363022e-03	-2.353043e-02	-5.141541e-04
15	7.200000e+04	1.937408e+01	6.007908e+00	7.799721e-01	1.669386e-03	3.727791e-01	2.299608e-01	1.828104e-01	-8.679426e-03	-2.328123e-02	-3.780391e-04
