Time (s)	1.000000e+04	dt_sampled - EXTRA_TIME	3.750000e+03
 i	 Vol	 Z	 Uavg	 Vavg	 Wavg	 Urms	 Vrms	 Wrms	 UVmean	 UWmean	 VWmean
0	7.200000e+04	6.247349e-01	3.830715e+00	8.598059e-01	-5.265092e-03	3.653711e-01	2.549326e-01	8.909009e-02	1.802645e-02	-1.064390e-02	-2.318855e-03
1	7.200000e+04	1.875637e+00	4.524794e+00	1.021651e+00	3.508330e-03	4.026052e-01	2.677744e-01	1.081573e-01	2.260240e-02	-1.947603e-02	-4.034470e-03
2	7.200000e+04	3.125806e+00	4.735625e+00	1.065045e+00	-3.314974e-03	3.691296e-01	2.644463e-01	1.312522e-01	1.760380e-02	-1.948475e-02	-3.592085e-03
3	7.200000e+04	4.374590e+00	4.878747e+00	1.089856e+00	2.880438e-03	3.417260e-01	2.587644e-01	1.467140e-01	1.304653e-02	-2.037710e-02	-3.673325e-03
4	7.200000e+04	5.626863e+00	4.972488e+00	1.103290e+00	-2.486181e-03	3.203407e-01	2.527441e-01	1.565797e-01	9.939361e-03	-2.036929e-02	-3.309102e-03
5	7.200000e+04	6.876738e+00	5.047307e+00	1.113269e+00	2.227612e-03	3.050237e-01	2.485136e-01	1.627346e-01	7.958473e-03	-2.047996e-02	-3.216214e-03
6	7.200000e+04	8.127151e+00	5.107206e+00	1.120409e+00	-1.934643e-03	2.930321e-01	2.448249e-01	1.662394e-01	6.801384e-03	-2.041883e-02	-2.916270e-03
7	7.200000e+04	9.375942e+00	5.159340e+00	1.126133e+00	1.741981e-03	2.839852e-01	2.421130e-01	1.684613e-01	6.006437e-03	-2.032298e-02	-2.758481e-03
8	7.200000e+04	1.062404e+01	5.205580e+00	1.130561e+00	-1.530135e-03	2.770312e-01	2.401070e-01	1.695697e-01	5.009328e-03	-2.023144e-02	-2.486255e-03
9	7.200000e+04	1.187262e+01	5.248630e+00	1.134124e+00	1.382846e-03	2.716154e-01	2.383586e-01	1.703259e-01	4.115506e-03	-2.008070e-02	-2.320847e-03
10	7.200000e+04	1.312173e+01	5.288620e+00	1.136552e+00	-1.230735e-03	2.666760e-01	2.367901e-01	1.707527e-01	3.126855e-03	-1.997338e-02	-2.077769e-03
11	7.200000e+04	1.437005e+01	5.326404e+00	1.138468e+00	1.111549e-03	2.625777e-01	2.354557e-01	1.709758e-01	2.278635e-03	-1.979822e-02	-1.892911e-03
12	7.200000e+04	1.562164e+01	5.361553e+00	1.140054e+00	-9.909114e-04	2.593070e-01	2.344606e-01	1.710365e-01	1.427636e-03	-1.967811e-02	-1.660755e-03
13	7.200000e+04	1.687398e+01	5.395355e+00	1.141890e+00	8.983684e-04	2.567962e-01	2.340661e-01	1.708786e-01	6.341203e-04	-1.949502e-02	-1.475612e-03
14	7.200000e+04	1.811819e+01	5.427841e+00	1.143908e+00	-8.062416e-04	2.547157e-01	2.338853e-01	1.706477e-01	-1.352969e-06	-1.935937e-02	-1.259436e-03
15	7.200000e+04	1.937408e+01	5.459132e+00	1.145493e+00	7.307428e-04	2.527346e-01	2.335969e-01	1.702250e-01	-5.235820e-04	-1.918789e-02	-1.094476e-03
16	7.200000e+04	2.062489e+01	5.489859e+00	1.146406e+00	-6.572427e-04	2.505859e-01	2.331609e-01	1.697649e-01	-9.969476e-04	-1.904071e-02	-8.915549e-04
17	7.200000e+04	2.188293e+01	5.519210e+00	1.147150e+00	5.954709e-04	2.487231e-01	2.327099e-01	1.691686e-01	-1.372897e-03	-1.886758e-02	-7.273441e-04
18	7.200000e+04	2.312019e+01	5.547987e+00	1.147643e+00	-5.363965e-04	2.470299e-01	2.324689e-01	1.686561e-01	-1.748070e-03	-1.871364e-02	-5.387433e-04
