Time (s)	9.600000e+03	dt_sampled - EXTRA_TIME	3.600000e+03
 i	 Vol	 Z	 Uavg	 Vavg	 Wavg	 Urms	 Vrms	 Wrms	 UVmean	 UWmean	 VWmean
0	7.200000e+04	6.247349e-01	8.345118e+00	-5.592948e-03	-2.104135e-02	8.774991e-01	4.061117e-01	1.641797e-01	-2.926578e-03	-4.519825e-02	-3.354913e-05
1	7.200000e+04	1.875637e+00	9.733498e+00	-7.137784e-03	1.342434e-02	9.892520e-01	4.402374e-01	2.066536e-01	-5.079206e-03	-8.147713e-02	-1.285447e-05
2	7.200000e+04	3.125806e+00	1.009847e+01	-6.925025e-03	-1.225511e-02	9.388571e-01	4.378691e-01	2.527404e-01	-6.401029e-03	-7.962102e-02	1.142748e-04
3	7.200000e+04	4.374590e+00	1.034438e+01	-4.980746e-03	1.063990e-02	9.005111e-01	4.303026e-01	2.838198e-01	-7.192881e-03	-8.287656e-02	3.943395e-05
4	7.200000e+04	5.626863e+00	1.049942e+01	-2.832013e-03	-9.171763e-03	8.716606e-01	4.197021e-01	3.012149e-01	-8.305208e-03	-8.227759e-02	1.434955e-04
5	7.200000e+04	6.876738e+00	1.062482e+01	-4.749789e-04	8.180587e-03	8.536876e-01	4.123856e-01	3.123879e-01	-8.784910e-03	-8.196665e-02	6.276262e-05
6	7.200000e+04	8.127151e+00	1.072350e+01	2.031362e-03	-7.203228e-03	8.403513e-01	4.048422e-01	3.181367e-01	-8.226409e-03	-8.143568e-02	1.400288e-04
7	7.200000e+04	9.375942e+00	1.081139e+01	3.881503e-03	6.470519e-03	8.308612e-01	3.973473e-01	3.218619e-01	-7.167986e-03	-8.036800e-02	6.062038e-05
8	7.200000e+04	1.062404e+01	1.088619e+01	4.410591e-03	-5.765878e-03	8.234806e-01	3.901067e-01	3.241148e-01	-6.302669e-03	-7.977903e-02	6.207079e-05
9	7.200000e+04	1.187262e+01	1.095430e+01	4.240448e-03	5.202856e-03	8.190016e-01	3.843570e-01	3.255140e-01	-4.966081e-03	-7.846824e-02	-1.519209e-05
