Time (s)	9.600000e+03	dt_sampled - EXTRA_TIME	3.600000e+03
 i	 Vol	 Z	 Uavg	 Vavg	 Wavg	 Urms	 Vrms	 Wrms	 UVmean	 UWmean	 VWmean
0	7.200000e+04	6.247349e-01	8.023584e+00	-1.128799e-02	-2.202381e-02	7.856569e-01	3.897130e-01	1.603098e-01	1.397520e-02	-4.234120e-02	4.681719e-06
1	7.200000e+04	1.875637e+00	9.350204e+00	-1.199905e-02	1.409118e-02	8.752427e-01	4.185740e-01	1.986206e-01	2.035650e-02	-7.454453e-02	1.384836e-04
2	7.200000e+04	3.125806e+00	9.702903e+00	-1.059853e-02	-1.287213e-02	8.151284e-01	4.117179e-01	2.416465e-01	2.057959e-02	-7.206956e-02	5.188793e-05
3	7.200000e+04	4.374590e+00	9.941266e+00	-1.112114e-02	1.116272e-02	7.734858e-01	4.032008e-01	2.693942e-01	1.910527e-02	-7.396747e-02	2.176058e-05
4	7.200000e+04	5.626863e+00	1.009329e+01	-1.236399e-02	-9.646588e-03	7.418476e-01	3.929177e-01	2.840548e-01	1.744974e-02	-7.246408e-02	-3.795996e-05
5	7.200000e+04	6.876738e+00	1.021476e+01	-1.358599e-02	8.605910e-03	7.215261e-01	3.854145e-01	2.926307e-01	1.583746e-02	-7.117316e-02	-4.656444e-05
6	7.200000e+04	8.127151e+00	1.030968e+01	-1.460886e-02	-7.588182e-03	7.054268e-01	3.781546e-01	2.967761e-01	1.490042e-02	-6.974863e-02	-8.526381e-05
7	7.200000e+04	9.375942e+00	1.039303e+01	-1.549306e-02	6.818855e-03	6.950065e-01	3.710888e-01	2.989393e-01	1.473191e-02	-6.781991e-02	-6.157787e-05
8	7.200000e+04	1.062404e+01	1.046433e+01	-1.574199e-02	-6.089294e-03	6.866582e-01	3.641996e-01	2.997703e-01	1.475696e-02	-6.641432e-02	-3.403948e-05
9	7.200000e+04	1.187262e+01	1.052966e+01	-1.583679e-02	5.508231e-03	6.802458e-01	3.581683e-01	2.998253e-01	1.479008e-02	-6.435353e-02	-2.329102e-05
10	7.200000e+04	1.312173e+01	1.058797e+01	-1.581040e-02	-4.956597e-03	6.739901e-01	3.525086e-01	2.997139e-01	1.446800e-02	-6.296734e-02	-2.458293e-05
11	7.200000e+04	1.437005e+01	1.064134e+01	-1.570012e-02	4.505580e-03	6.685697e-01	3.476520e-01	2.990859e-01	1.422637e-02	-6.091244e-02	-6.634265e-05
12	7.200000e+04	1.562164e+01	1.069063e+01	-1.591174e-02	-4.076554e-03	6.634291e-01	3.432827e-01	2.985722e-01	1.385776e-02	-5.953951e-02	-1.174180e-04
13	7.200000e+04	1.687398e+01	1.073680e+01	-1.630067e-02	3.718330e-03	6.588392e-01	3.396539e-01	2.976304e-01	1.328866e-02	-5.757311e-02	-1.800452e-04
14	7.200000e+04	1.811819e+01	1.077975e+01	-1.650014e-02	-3.370368e-03	6.545805e-01	3.367209e-01	2.968275e-01	1.250012e-02	-5.625674e-02	-2.492138e-04
15	7.200000e+04	1.937408e+01	1.082045e+01	-1.638564e-02	3.086627e-03	6.509551e-01	3.340452e-01	2.956763e-01	1.151808e-02	-5.440092e-02	-3.304151e-04
16	7.200000e+04	2.062489e+01	1.085947e+01	-1.607039e-02	-2.816020e-03	6.474541e-01	3.309737e-01	2.948254e-01	1.057699e-02	-5.311013e-02	-4.244291e-04
17	7.200000e+04	2.188293e+01	1.089606e+01	-1.541406e-02	2.580544e-03	6.438656e-01	3.282616e-01	2.935915e-01	1.006819e-02	-5.135452e-02	-5.231379e-04
18	7.200000e+04	2.312019e+01	1.093063e+01	-1.410543e-02	-2.358438e-03	6.401556e-01	3.260017e-01	2.925649e-01	9.843280e-03	-5.003946e-02	-6.528802e-04
19	7.200000e+04	2.438035e+01	1.096366e+01	-1.193934e-02	2.168213e-03	6.367231e-01	3.235806e-01	2.912308e-01	9.838585e-03	-4.837170e-02	-7.522370e-04
20	7.200000e+04	2.561718e+01	1.099441e+01	-9.283494e-03	-1.987512e-03	6.332664e-01	3.206308e-01	2.901779e-01	1.035505e-02	-4.717000e-02	-8.581441e-04
21	7.200000e+04	2.687912e+01	1.102378e+01	-6.924178e-03	1.830671e-03	6.299009e-01	3.178973e-01	2.888261e-01	1.097430e-02	-4.568863e-02	-9.510621e-04
22	7.200000e+04	2.811253e+01	1.105219e+01	-4.895987e-03	-1.679658e-03	6.261702e-01	3.152282e-01	2.876125e-01	1.155024e-02	-4.464178e-02	-1.046840e-03
23	7.200000e+04	2.937544e+01	1.107932e+01	-3.199913e-03	1.550249e-03	6.225887e-01	3.128493e-01	2.862290e-01	1.206229e-02	-4.336049e-02	-1.150676e-03
24	7.200000e+04	3.063739e+01	1.110511e+01	-2.078330e-03	-1.424915e-03	6.191881e-01	3.108816e-01	2.851674e-01	1.238151e-02	-4.246030e-02	-1.274833e-03
25	7.200000e+04	3.187226e+01	1.112941e+01	-1.480610e-03	1.318065e-03	6.154612e-01	3.091363e-01	2.840541e-01	1.258892e-02	-4.137059e-02	-1.390525e-03
26	7.200000e+04	3.313847e+01	1.115300e+01	-1.156063e-03	-1.214722e-03	6.113374e-01	3.075829e-01	2.832348e-01	1.248831e-02	-4.063193e-02	-1.463496e-03
27	7.200000e+04	3.437844e+01	1.117547e+01	-7.479800e-04	1.123454e-03	6.070034e-01	3.065173e-01	2.823234e-01	1.223779e-02	-3.975207e-02	-1.504980e-03
28	7.200000e+04	3.562554e+01	1.119759e+01	-2.912691e-04	-1.037857e-03	6.028671e-01	3.055159e-01	2.816390e-01	1.167377e-02	-3.916178e-02	-1.513169e-03
29	7.200000e+04	3.686655e+01	1.121904e+01	-6.488316e-05	9.658410e-04	5.991009e-01	3.045794e-01	2.809550e-01	1.100783e-02	-3.846618e-02	-1.493166e-03
30	7.200000e+04	3.813452e+01	1.123936e+01	-1.937715e-04	-8.936091e-04	5.954818e-01	3.036693e-01	2.805221e-01	1.038244e-02	-3.804847e-02	-1.460328e-03
31	7.200000e+04	3.937933e+01	1.125872e+01	-6.822759e-04	8.294284e-04	5.919930e-01	3.026381e-01	2.800373e-01	9.474368e-03	-3.750591e-02	-1.426430e-03
32	7.200049e+04	4.061963e+01	1.127818e+01	-1.393416e-03	-7.686428e-04	5.892516e-01	3.016399e-01	2.796670e-01	8.421792e-03	-3.721938e-02	-1.388646e-03
33	7.200049e+04	4.186478e+01	1.129780e+01	-2.304351e-03	7.150517e-04	5.870036e-01	3.005541e-01	2.792182e-01	7.352441e-03	-3.685578e-02	-1.383730e-03
34	7.200050e+04	4.313503e+01	1.131807e+01	-3.157357e-03	-6.595117e-04	5.850709e-01	2.994473e-01	2.788554e-01	6.117002e-03	-3.670809e-02	-1.404282e-03
35	7.200049e+04	4.438379e+01	1.133842e+01	-3.638030e-03	6.159975e-04	5.832524e-01	2.986541e-01	2.784331e-01	4.829195e-03	-3.650982e-02	-1.457410e-03
36	7.200049e+04	4.560881e+01	1.135641e+01	-4.066967e-03	-5.728704e-04	5.813578e-01	2.982575e-01	2.780836e-01	3.535237e-03	-3.643529e-02	-1.508754e-03
37	7.200051e+04	4.685774e+01	1.137652e+01	-4.503375e-03	5.353690e-04	5.795499e-01	2.978316e-01	2.776763e-01	2.269767e-03	-3.628282e-02	-1.559293e-03
38	7.200051e+04	4.812769e+01	1.139558e+01	-4.870900e-03	-4.983027e-04	5.779986e-01	2.974747e-01	2.773728e-01	1.149238e-03	-3.625185e-02	-1.589341e-03
39	7.200049e+04	4.939823e+01	1.141379e+01	-4.713252e-03	4.678260e-04	5.767940e-01	2.975136e-01	2.770644e-01	1.294573e-04	-3.619381e-02	-1.636751e-03
40	7.200049e+04	5.065087e+01	1.143229e+01	-3.911755e-03	-4.362990e-04	5.752808e-01	2.977854e-01	2.768417e-01	-8.134051e-04	-3.627566e-02	-1.697949e-03
41	7.200051e+04	5.186778e+01	1.145196e+01	-2.550187e-03	4.115394e-04	5.736851e-01	2.982613e-01	2.766836e-01	-1.688368e-03	-3.634196e-02	-1.774578e-03
42	7.200049e+04	5.312151e+01	1.146969e+01	-1.050828e-03	-3.838642e-04	5.723935e-01	2.985235e-01	2.766487e-01	-2.349621e-03	-3.649807e-02	-1.840931e-03
43	7.200049e+04	5.439294e+01	1.148882e+01	7.489428e-04	3.638657e-04	5.712460e-01	2.986013e-01	2.765718e-01	-2.917006e-03	-3.661277e-02	-1.880616e-03
44	7.200051e+04	5.564795e+01	1.150664e+01	2.678985e-03	-3.433812e-04	5.703939e-01	2.984715e-01	2.764941e-01	-3.477161e-03	-3.676424e-02	-1.894793e-03
45	7.200049e+04	5.686254e+01	1.152523e+01	4.814704e-03	3.261443e-04	5.695835e-01	2.981441e-01	2.762944e-01	-3.861461e-03	-3.684292e-02	-1.889418e-03
46	7.200050e+04	5.811786e+01	1.154405e+01	7.022797e-03	-3.074947e-04	5.685582e-01	2.978670e-01	2.759480e-01	-4.190459e-03	-3.693199e-02	-1.884155e-03
47	7.200052e+04	5.938993e+01	1.156190e+01	9.008289e-03	2.902558e-04	5.673112e-01	2.976216e-01	2.754387e-01	-4.583960e-03	-3.695187e-02	-1.882583e-03
48	7.200050e+04	6.064682e+01	1.158054e+01	1.052676e-02	-2.782032e-04	5.658171e-01	2.974045e-01	2.747001e-01	-4.991826e-03	-3.696849e-02	-1.879646e-03
49	7.200049e+04	6.186095e+01	1.159871e+01	1.182811e-02	2.655266e-04	5.642495e-01	2.972798e-01	2.739423e-01	-5.469700e-03	-3.696610e-02	-1.891829e-03
50	7.200048e+04	6.312056e+01	1.161744e+01	1.287134e-02	-2.536082e-04	5.629854e-01	2.971771e-01	2.730754e-01	-5.923813e-03	-3.694608e-02	-1.888964e-03
51	7.200050e+04	6.437122e+01	1.163560e+01	1.372981e-02	2.445574e-04	5.621753e-01	2.966064e-01	2.723098e-01	-6.277831e-03	-3.694012e-02	-1.881237e-03
52	7.200050e+04	6.563755e+01	1.165359e+01	1.459966e-02	-2.353713e-04	5.613836e-01	2.958420e-01	2.713473e-01	-6.603235e-03	-3.689493e-02	-1.845083e-03
53	7.200050e+04	6.689892e+01	1.167221e+01	1.573325e-02	2.285581e-04	5.600807e-01	2.949325e-01	2.705519e-01	-6.928569e-03	-3.688173e-02	-1.807579e-03
54	7.200051e+04	6.811652e+01	1.169121e+01	1.725038e-02	-2.216141e-04	5.584912e-01	2.941921e-01	2.694431e-01	-7.179334e-03	-3.678712e-02	-1.754046e-03
55	7.200049e+04	6.937602e+01	1.171003e+01	1.860512e-02	2.159832e-04	5.570089e-01	2.934428e-01	2.686504e-01	-7.323341e-03	-3.678142e-02	-1.702537e-03
56	7.200046e+04	7.065012e+01	1.172901e+01	1.935272e-02	-2.101559e-04	5.556427e-01	2.925798e-01	2.673492e-01	-7.345110e-03	-3.663790e-02	-1.613864e-03
57	7.200048e+04	7.191071e+01	1.174751e+01	1.940678e-02	2.011720e-04	5.545449e-01	2.914312e-01	2.666941e-01	-7.386992e-03	-3.669172e-02	-1.511125e-03
58	7.200048e+04	7.313443e+01	1.176525e+01	1.875467e-02	-1.997999e-04	5.538811e-01	2.904285e-01	2.651732e-01	-7.202843e-03	-3.653103e-02	-1.413176e-03
59	7.200048e+04	7.439701e+01	1.178363e+01	1.750922e-02	1.881363e-04	5.535429e-01	2.892320e-01	2.647626e-01	-6.974374e-03	-3.672645e-02	-1.317200e-03
60	7.200057e+04	7.561620e+01	1.180202e+01	1.630671e-02	-1.907561e-04	5.534593e-01	2.884887e-01	2.627267e-01	-6.814158e-03	-3.656644e-02	-1.238661e-03
61	7.200055e+04	7.687666e+01	1.181899e+01	1.525785e-02	1.614818e-04	5.533566e-01	2.875243e-01	2.625332e-01	-6.804184e-03	-3.694043e-02	-1.159582e-03
62	7.189972e+04	7.816975e+01	1.183822e+01	1.490577e-02	-1.503659e-04	5.531573e-01	2.858465e-01	2.594731e-01	-7.034729e-03	-3.671586e-02	-1.098108e-03
63	7.189972e+04	7.939858e+01	1.185504e+01	1.472013e-02	6.633531e-05	5.535346e-01	2.841340e-01	2.599028e-01	-7.271449e-03	-3.720646e-02	-1.026860e-03
65	1.440000e+05	8.125715e+01	1.187610e+01	1.557071e-02	1.278364e-04	5.498310e-01	2.742182e-01	2.534276e-01	-8.021750e-03	-3.690872e-02	-9.044320e-04
67	1.440000e+05	8.375500e+01	1.191377e+01	1.722305e-02	-1.864142e-04	5.538911e-01	2.732114e-01	2.510676e-01	-9.031834e-03	-3.688342e-02	-6.341435e-04
69	1.440000e+05	8.625465e+01	1.195339e+01	1.893386e-02	1.564012e-04	5.592626e-01	2.712745e-01	2.493341e-01	-9.457460e-03	-3.747044e-02	-5.161299e-04
71	1.440000e+05	8.875224e+01	1.199267e+01	2.075976e-02	-1.182603e-04	5.645709e-01	2.715896e-01	2.482805e-01	-9.358563e-03	-3.755388e-02	-3.627232e-04
73	1.440000e+05	9.125868e+01	1.203106e+01	2.193493e-02	1.058599e-04	5.686329e-01	2.711755e-01	2.479987e-01	-8.849316e-03	-3.783880e-02	-3.335744e-04
75	1.440000e+05	9.375607e+01	1.206937e+01	2.159206e-02	-8.058014e-05	5.714669e-01	2.700710e-01	2.476551e-01	-8.352430e-03	-3.797911e-02	-3.052189e-04
77	1.440000e+05	9.625478e+01	1.210717e+01	2.046074e-02	7.336576e-05	5.743504e-01	2.687567e-01	2.473757e-01	-7.667804e-03	-3.812037e-02	-2.672984e-04
79	1.440000e+05	9.875185e+01	1.214453e+01	1.929881e-02	-7.147899e-05	5.762950e-01	2.693391e-01	2.470601e-01	-6.520535e-03	-3.823193e-02	-2.313526e-04
81	1.440000e+05	1.012481e+02	1.218302e+01	1.806332e-02	6.444100e-05	5.786145e-01	2.699285e-01	2.466009e-01	-5.608988e-03	-3.820694e-02	-2.303292e-04
83	1.440000e+05	1.037451e+02	1.222241e+01	1.603087e-02	-5.439788e-05	5.814157e-01	2.691193e-01	2.457122e-01	-4.346735e-03	-3.812128e-02	-1.870494e-04
85	1.440000e+05	1.062434e+02	1.226244e+01	1.443311e-02	4.844098e-05	5.845417e-01	2.680422e-01	2.443810e-01	-3.177791e-03	-3.791424e-02	-1.253124e-04
87	1.440000e+05	1.087403e+02	1.230172e+01	1.304069e-02	-3.462339e-05	5.865761e-01	2.673988e-01	2.429708e-01	-2.876868e-03	-3.774235e-02	-4.958675e-05
89	1.440000e+05	1.112446e+02	1.234071e+01	1.121253e-02	3.305036e-05	5.886559e-01	2.671406e-01	2.419541e-01	-2.882267e-03	-3.744509e-02	1.899235e-05
91	1.440000e+05	1.137413e+02	1.237919e+01	9.634581e-03	-3.019563e-05	5.914533e-01	2.653985e-01	2.411139e-01	-2.550914e-03	-3.722074e-02	7.756764e-05
93	1.440000e+05	1.162395e+02	1.241788e+01	7.312446e-03	2.663761e-05	5.937419e-01	2.621004e-01	2.399817e-01	-1.732099e-03	-3.684501e-02	1.540558e-04
95	1.440000e+05	1.187372e+02	1.245692e+01	4.198911e-03	-2.498808e-05	5.963904e-01	2.596322e-01	2.382143e-01	-1.102540e-03	-3.646586e-02	2.339317e-04
97	1.440000e+05	1.212618e+02	1.249578e+01	2.092927e-03	1.632845e-05	5.993440e-01	2.583545e-01	2.360723e-01	-9.752837e-04	-3.594522e-02	3.359198e-04
99	1.440000e+05	1.237618e+02	1.253555e+01	5.032444e-04	-8.147656e-06	6.035109e-01	2.577972e-01	2.338555e-01	-6.441877e-04	-3.541967e-02	3.964257e-04
101	1.440000e+05	1.262551e+02	1.257562e+01	2.985294e-04	6.999262e-06	6.078032e-01	2.570926e-01	2.317745e-01	-4.430224e-04	-3.483709e-02	4.873298e-04
103	1.440000e+05	1.287570e+02	1.261575e+01	5.388255e-04	2.978538e-06	6.116097e-01	2.566006e-01	2.295260e-01	-5.931702e-04	-3.422874e-02	4.828109e-04
105	1.440000e+05	1.312533e+02	1.265640e+01	7.957694e-05	-6.277778e-06	6.159213e-01	2.551284e-01	2.272257e-01	-6.060908e-04	-3.357107e-02	4.858413e-04
107	1.440000e+05	1.337573e+02	1.269551e+01	3.143195e-04	2.381704e-06	6.195700e-01	2.525050e-01	2.253840e-01	-5.100834e-04	-3.294048e-02	4.466515e-04
109	1.440000e+05	1.362459e+02	1.273280e+01	6.562212e-04	-5.505166e-06	6.226307e-01	2.489674e-01	2.236523e-01	-7.708272e-05	-3.223557e-02	3.790656e-04
111	1.440000e+05	1.387519e+02	1.276802e+01	1.776635e-03	2.838434e-06	6.251941e-01	2.451233e-01	2.217917e-01	2.206044e-04	-3.156004e-02	3.429726e-04
113	1.440000e+05	1.412593e+02	1.280206e+01	2.310679e-03	1.595877e-06	6.268063e-01	2.421856e-01	2.194691e-01	6.229452e-05	-3.080641e-02	2.742543e-04
115	1.440000e+05	1.437448e+02	1.283714e+01	2.920673e-03	1.530549e-05	6.277497e-01	2.392250e-01	2.170839e-01	-8.516096e-04	-3.007348e-02	2.571731e-04
117	1.440000e+05	1.462555e+02	1.287199e+01	3.578634e-03	-1.888952e-05	6.283472e-01	2.357766e-01	2.145421e-01	-2.371068e-03	-2.931029e-02	1.870205e-04
119	1.440000e+05	1.487392e+02	1.290667e+01	3.735664e-03	1.073413e-05	6.297795e-01	2.323064e-01	2.120718e-01	-4.271622e-03	-2.859715e-02	1.684110e-04
121	1.440000e+05	1.512560e+02	1.294132e+01	3.649995e-03	-1.387360e-05	6.308994e-01	2.284305e-01	2.093842e-01	-6.511171e-03	-2.790781e-02	1.361716e-04
123	1.440000e+05	1.537382e+02	1.297563e+01	2.616572e-03	2.318508e-05	6.327093e-01	2.248276e-01	2.065493e-01	-8.529646e-03	-2.726071e-02	1.214045e-04
125	1.440000e+05	1.562517e+02	1.300911e+01	1.888736e-03	-2.021648e-05	6.346149e-01	2.215042e-01	2.036579e-01	-8.815535e-03	-2.666131e-02	1.521048e-04
127	1.440000e+05	1.587321e+02	1.304142e+01	1.196449e-03	1.290254e-05	6.367142e-01	2.180172e-01	2.007921e-01	-7.740386e-03	-2.603613e-02	1.792398e-04
129	1.440000e+05	1.612682e+02	1.307307e+01	-6.638624e-05	-9.761361e-06	6.385996e-01	2.141652e-01	1.977952e-01	-5.789159e-03	-2.542438e-02	2.402978e-04
131	1.440000e+05	1.637469e+02	1.310342e+01	-2.347152e-03	1.399389e-05	6.400325e-01	2.104537e-01	1.948654e-01	-2.662157e-03	-2.483781e-02	2.430989e-04
133	1.440000e+05	1.662625e+02	1.313324e+01	-5.231388e-03	-1.192135e-05	6.405103e-01	2.066650e-01	1.921175e-01	5.779723e-04	-2.423945e-02	2.825440e-04
135	1.440000e+05	1.687400e+02	1.316258e+01	-8.032058e-03	1.260710e-05	6.405342e-01	2.031909e-01	1.896142e-01	3.254398e-03	-2.364621e-02	2.719489e-04
137	1.440000e+05	1.712611e+02	1.319166e+01	-1.060340e-02	-1.704596e-05	6.393822e-01	1.997528e-01	1.871908e-01	6.038400e-03	-2.305228e-02	2.575498e-04
139	1.440000e+05	1.737372e+02	1.322178e+01	-1.088826e-02	1.721938e-05	6.365860e-01	1.961296e-01	1.847690e-01	8.086701e-03	-2.245008e-02	2.311706e-04
141	1.440000e+05	1.762554e+02	1.325140e+01	-9.152034e-03	-1.273989e-05	6.339681e-01	1.924707e-01	1.820978e-01	9.546575e-03	-2.187033e-02	1.843721e-04
143	1.440000e+05	1.787300e+02	1.328090e+01	-6.159729e-03	1.425563e-05	6.336530e-01	1.887693e-01	1.792001e-01	1.064568e-02	-2.130026e-02	1.179306e-04
145	1.440000e+05	1.812481e+02	1.331018e+01	-3.099251e-03	-1.183810e-05	6.343951e-01	1.858298e-01	1.760617e-01	1.100657e-02	-2.077273e-02	4.764227e-05
147	1.440000e+05	1.837677e+02	1.333961e+01	-2.384240e-04	1.734134e-05	6.358964e-01	1.832324e-01	1.728274e-01	1.109471e-02	-2.024296e-02	-2.531947e-05
149	1.440000e+05	1.862422e+02	1.336823e+01	2.118262e-03	-1.404323e-05	6.367571e-01	1.809891e-01	1.695158e-01	1.124185e-02	-1.970981e-02	-1.082636e-04
151	1.440000e+05	1.887628e+02	1.339708e+01	3.421489e-03	1.946069e-05	6.366025e-01	1.790016e-01	1.664666e-01	1.112247e-02	-1.914682e-02	-1.534866e-04
