Time (s)	9.993750e+03	dt_sampled - EXTRA_TIME	3.743750e+03
 i	 Vol	 Z	 Uavg	 Vavg	 Wavg	 Urms	 Vrms	 Wrms	 UVmean	 UWmean	 VWmean
0	6.300010e+04	6.250178e-01	7.371839e-01	2.390555e-02	-5.884430e-02	5.304941e-01	5.183408e-01	1.744327e-01	-2.885281e-02	8.217081e-04	-4.602082e-03
1	6.300010e+04	1.875109e+00	9.798301e-01	6.162371e-02	2.606033e-02	4.924416e-01	4.595024e-01	2.824330e-01	-1.141976e-02	-1.506965e-02	-1.217340e-02
2	6.300011e+04	3.125232e+00	1.079462e+00	9.052517e-02	-1.649965e-02	4.772347e-01	4.440902e-01	3.380836e-01	-7.500594e-03	-2.207868e-02	-1.993924e-02
3	6.300011e+04	4.375168e+00	1.137262e+00	1.333687e-01	1.174835e-02	4.772416e-01	4.427261e-01	3.730440e-01	-5.208020e-03	-2.798255e-02	-2.681970e-02
4	6.300012e+04	5.625313e+00	1.185048e+00	1.873336e-01	-8.214355e-03	4.818126e-01	4.453222e-01	3.935468e-01	-3.067042e-03	-3.861527e-02	-3.259455e-02
5	6.300013e+04	6.875481e+00	1.233668e+00	2.498841e-01	6.034965e-03	4.915749e-01	4.513847e-01	4.040645e-01	1.685946e-04	-5.016451e-02	-3.714656e-02
6	6.300008e+04	8.125357e+00	1.309272e+00	3.193256e-01	-5.042641e-03	5.061777e-01	4.581067e-01	4.073542e-01	4.952765e-03	-6.564394e-02	-4.060980e-02
7	6.300009e+04	9.375094e+00	1.415682e+00	3.915600e-01	3.593256e-03	5.280824e-01	4.666662e-01	4.035203e-01	1.308835e-02	-7.915705e-02	-4.297233e-02
8	7.200438e+04	1.062457e+01	1.535613e+00	4.931292e-01	1.372052e-02	5.602729e-01	4.833606e-01	3.740488e-01	3.011122e-02	-7.453358e-02	-3.563177e-02
9	7.200441e+04	1.187452e+01	1.704075e+00	5.322173e-01	-5.756854e-03	5.630276e-01	4.817856e-01	3.699072e-01	2.937197e-02	-8.346266e-02	-3.490955e-02
10	7.200444e+04	1.312428e+01	1.814086e+00	5.758466e-01	4.274844e-03	5.555235e-01	4.773276e-01	3.673806e-01	2.779465e-02	-8.033514e-02	-3.309194e-02
11	7.200466e+04	1.437386e+01	1.899584e+00	6.095947e-01	-3.112822e-03	5.490060e-01	4.729469e-01	3.690565e-01	2.578091e-02	-8.133299e-02	-3.358475e-02
12	7.200281e+04	1.562332e+01	1.968650e+00	6.419256e-01	2.362800e-03	5.455055e-01	4.695735e-01	3.676833e-01	2.501677e-02	-7.980905e-02	-3.288914e-02
