Time (s)	9.993750e+03	dt_sampled - EXTRA_TIME	3.743750e+03
 i	 Vol	 Z	 Uavg	 Vavg	 Wavg	 Urms	 Vrms	 Wrms	 UVmean	 UWmean	 VWmean
0	6.300010e+04	6.250178e-01	6.782719e-01	4.507011e-02	-3.730882e-02	5.033165e-01	5.009003e-01	1.717922e-01	-3.346268e-02	3.516320e-04	-4.796638e-03
1	6.300010e+04	1.875109e+00	8.845119e-01	8.694183e-02	1.586683e-02	4.634203e-01	4.441119e-01	2.703145e-01	-1.058991e-02	-1.186348e-02	-1.241500e-02
2	6.300011e+04	3.125232e+00	9.651818e-01	1.204771e-01	-9.722662e-03	4.488785e-01	4.280418e-01	3.252390e-01	-4.521366e-03	-1.814569e-02	-2.068106e-02
3	6.300011e+04	4.375168e+00	1.011594e+00	1.677107e-01	7.177388e-03	4.481458e-01	4.259832e-01	3.584028e-01	-1.868044e-03	-2.367748e-02	-2.770460e-02
4	6.300012e+04	5.625313e+00	1.049962e+00	2.256277e-01	-5.064751e-03	4.514067e-01	4.289740e-01	3.775409e-01	9.826866e-04	-3.317386e-02	-3.377316e-02
5	6.300013e+04	6.875481e+00	1.090366e+00	2.913567e-01	3.737747e-03	4.589856e-01	4.350181e-01	3.871319e-01	5.552670e-03	-4.381773e-02	-3.848463e-02
6	6.300008e+04	8.125357e+00	1.155690e+00	3.647503e-01	-3.284775e-03	4.715942e-01	4.414218e-01	3.892578e-01	1.227346e-02	-5.763216e-02	-4.224255e-02
7	6.300009e+04	9.375094e+00	1.252511e+00	4.415113e-01	2.049918e-03	4.908151e-01	4.489705e-01	3.844689e-01	2.231275e-02	-6.982194e-02	-4.491221e-02
8	7.200438e+04	1.062457e+01	1.373404e+00	5.525559e-01	1.496621e-02	5.186155e-01	4.611697e-01	3.540411e-01	4.055013e-02	-6.581138e-02	-3.770622e-02
9	7.200441e+04	1.187452e+01	1.525483e+00	5.939513e-01	-6.679858e-03	5.216627e-01	4.595493e-01	3.483525e-01	4.110132e-02	-7.228522e-02	-3.691106e-02
10	7.200444e+04	1.312428e+01	1.624780e+00	6.403837e-01	4.960191e-03	5.156200e-01	4.542514e-01	3.449258e-01	4.088264e-02	-6.950206e-02	-3.487037e-02
11	7.200466e+04	1.437386e+01	1.701419e+00	6.768838e-01	-3.652708e-03	5.096273e-01	4.488079e-01	3.456885e-01	3.963749e-02	-7.017106e-02	-3.531089e-02
12	7.200281e+04	1.562332e+01	1.763212e+00	7.119706e-01	2.786897e-03	5.051041e-01	4.451819e-01	3.436431e-01	3.925895e-02	-6.883086e-02	-3.442885e-02
13	7.200266e+04	1.687567e+01	1.819634e+00	7.432311e-01	-2.194675e-03	5.022843e-01	4.417451e-01	3.436868e-01	3.881214e-02	-6.936918e-02	-3.453048e-02
14	7.198915e+04	1.812289e+01	1.870499e+00	7.723636e-01	1.748057e-03	5.008762e-01	4.388717e-01	3.419686e-01	3.844477e-02	-6.878217e-02	-3.382772e-02
15	7.198931e+04	1.937713e+01	1.920169e+00	7.993924e-01	-1.424719e-03	5.007588e-01	4.357622e-01	3.415910e-01	3.803719e-02	-6.921658e-02	-3.359903e-02
16	7.200575e+04	2.062335e+01	1.967312e+00	8.245695e-01	1.149566e-03	5.014258e-01	4.333512e-01	3.402479e-01	3.790385e-02	-6.882185e-02	-3.291337e-02
17	7.200576e+04	2.187846e+01	2.013304e+00	8.477262e-01	-9.427377e-04	5.027479e-01	4.313031e-01	3.396347e-01	3.766283e-02	-6.905553e-02	-3.251836e-02
