Time (s)	9.600000e+03	dt_sampled - EXTRA_TIME	3.600000e+03
 i	 Vol	 Z	 Uavg	 Vavg	 Wavg	 Urms	 Vrms	 Wrms	 UVmean	 UWmean	 VWmean
0	6.300010e+04	6.250178e-01	1.406878e+00	-9.555523e-03	-1.024288e-01	9.146855e-01	8.597495e-01	2.956010e-01	-3.227663e-03	2.123553e-03	-3.126113e-04
1	6.300010e+04	1.875109e+00	1.908466e+00	-3.139632e-03	4.719606e-02	8.644418e-01	7.289490e-01	4.572812e-01	-2.986153e-03	-4.942223e-02	-5.815025e-04
2	6.300011e+04	3.125232e+00	2.136112e+00	-4.945297e-04	-3.076670e-02	8.457555e-01	6.939758e-01	5.338820e-01	-2.123538e-03	-7.472827e-02	-1.060643e-03
3	6.300011e+04	4.375168e+00	2.268101e+00	1.519710e-03	2.219917e-02	8.478667e-01	6.813543e-01	5.838395e-01	-2.179394e-03	-8.620737e-02	-1.318585e-03
4	6.300012e+04	5.625313e+00	2.379939e+00	3.431086e-03	-1.612567e-02	8.579459e-01	6.748275e-01	6.163616e-01	-1.709129e-03	-1.181448e-01	-1.554580e-03
5	6.300013e+04	6.875481e+00	2.484447e+00	5.419557e-03	1.215585e-02	8.817586e-01	6.776993e-01	6.352089e-01	-7.441640e-04	-1.475203e-01	-1.864093e-03
6	6.300008e+04	8.125357e+00	2.632249e+00	7.875976e-03	-1.016994e-02	9.184557e-01	6.863303e-01	6.418489e-01	3.735994e-05	-1.901173e-01	-2.349612e-03
7	6.300009e+04	9.375094e+00	2.823593e+00	1.123040e-02	8.079289e-03	9.672588e-01	6.996133e-01	6.397766e-01	-1.097084e-03	-2.234045e-01	-2.701088e-03
8	7.200438e+04	1.062457e+01	2.962864e+00	1.542597e-02	2.037561e-02	1.058870e+00	7.519860e-01	6.053980e-01	-5.157359e-04	-2.033974e-01	-2.229961e-03
9	7.200441e+04	1.187452e+01	3.287959e+00	2.015429e-02	-7.666605e-03	1.071414e+00	7.490301e-01	6.033342e-01	-1.634693e-03	-2.486087e-01	-2.133181e-03
10	7.200444e+04	1.312428e+01	3.510338e+00	2.527152e-02	5.734397e-03	1.058161e+00	7.387818e-01	5.984647e-01	-2.240129e-03	-2.380334e-01	-2.029351e-03
11	7.200466e+04	1.437386e+01	3.684743e+00	2.856323e-02	-4.028598e-03	1.045488e+00	7.258580e-01	6.016730e-01	-1.867735e-03	-2.448200e-01	-2.143153e-03
12	7.200281e+04	1.562332e+01	3.825026e+00	3.039221e-02	3.013977e-03	1.038192e+00	7.134061e-01	5.982822e-01	-1.983853e-03	-2.396238e-01	-2.121782e-03
13	7.200266e+04	1.687567e+01	3.951029e+00	3.084650e-02	-2.330835e-03	1.035364e+00	7.028071e-01	5.982713e-01	-2.733381e-03	-2.424322e-01	-2.094352e-03
14	7.198915e+04	1.812289e+01	4.064804e+00	3.079889e-02	1.844696e-03	1.035250e+00	6.940345e-01	5.944247e-01	-2.668279e-03	-2.398354e-01	-2.069502e-03
15	7.198931e+04	1.937713e+01	4.172397e+00	3.050642e-02	-1.510891e-03	1.037063e+00	6.865643e-01	5.925213e-01	-2.187371e-03	-2.411667e-01	-2.045463e-03
16	7.200575e+04	2.062335e+01	4.273296e+00	3.037798e-02	1.209966e-03	1.040099e+00	6.806708e-01	5.886934e-01	-1.246022e-03	-2.390518e-01	-2.015553e-03
17	7.200576e+04	2.187846e+01	4.369863e+00	2.999565e-02	-9.921349e-04	1.043494e+00	6.750080e-01	5.859435e-01	3.021156e-04	-2.392101e-01	-2.008474e-03
18	7.198267e+04	2.312073e+01	4.460882e+00	2.913646e-02	8.062028e-04	1.046998e+00	6.692057e-01	5.823919e-01	1.953886e-03	-2.370745e-01	-2.040663e-03
19	7.198270e+04	2.437539e+01	4.547759e+00	2.860280e-02	-6.767163e-04	1.050465e+00	6.629124e-01	5.799653e-01	3.461398e-03	-2.364418e-01	-2.049123e-03
20	7.198262e+04	2.561964e+01	4.630467e+00	2.798039e-02	5.459560e-04	1.053308e+00	6.570255e-01	5.773715e-01	5.086686e-03	-2.343218e-01	-2.124671e-03
21	7.198241e+04	2.687431e+01	4.709757e+00	2.687618e-02	-4.678625e-04	1.055832e+00	6.518669e-01	5.755406e-01	6.528529e-03	-2.331855e-01	-2.242588e-03
22	7.198234e+04	2.811823e+01	4.786293e+00	2.623146e-02	3.839924e-04	1.058099e+00	6.473016e-01	5.735250e-01	7.837469e-03	-2.311774e-01	-2.342896e-03
23	7.198235e+04	2.937281e+01	4.860028e+00	2.654292e-02	-3.427390e-04	1.059933e+00	6.432670e-01	5.720488e-01	9.465603e-03	-2.299365e-01	-2.480751e-03
24	7.198252e+04	3.061688e+01	4.930939e+00	2.761077e-02	2.845671e-04	1.061680e+00	6.401172e-01	5.703843e-01	1.156433e-02	-2.281113e-01	-2.569991e-03
