Time (s)	9.600000e+03	dt_sampled - EXTRA_TIME	3.600000e+03
 i	 Vol	 Z	 Uavg	 Vavg	 Wavg	 Urms	 Vrms	 Wrms	 UVmean	 UWmean	 VWmean
0	6.300010e+04	6.250178e-01	1.454438e+00	-7.217694e-04	-1.089156e-01	9.451270e-01	8.905207e-01	3.079838e-01	-3.722336e-03	2.350449e-03	-1.162204e-05
1	6.300010e+04	1.875109e+00	1.983004e+00	-4.672449e-04	5.035726e-02	8.920731e-01	7.591659e-01	4.751793e-01	-1.491266e-03	-5.469916e-02	-6.862939e-04
2	6.300011e+04	3.125232e+00	2.225872e+00	-2.365699e-03	-3.286603e-02	8.683697e-01	7.236959e-01	5.557993e-01	-1.511437e-03	-8.087803e-02	-7.457421e-04
3	6.300011e+04	4.375168e+00	2.364713e+00	-3.113466e-03	2.368768e-02	8.661153e-01	7.100078e-01	6.080968e-01	-1.347308e-03	-9.407609e-02	-7.908363e-04
4	6.300012e+04	5.625313e+00	2.481298e+00	-2.377034e-03	-1.718310e-02	8.715564e-01	7.027243e-01	6.421344e-01	-1.752247e-03	-1.271236e-01	-1.190717e-03
5	6.300013e+04	6.875481e+00	2.589312e+00	-1.936749e-04	1.293923e-02	8.917457e-01	7.054192e-01	6.620710e-01	-2.872442e-03	-1.595089e-01	-1.411600e-03
6	6.300008e+04	8.125357e+00	2.742394e+00	2.798843e-03	-1.078705e-02	9.256565e-01	7.138937e-01	6.695036e-01	-4.293630e-03	-2.047037e-01	-1.563121e-03
7	6.300009e+04	9.375094e+00	2.943100e+00	5.641240e-03	8.615480e-03	9.729389e-01	7.276790e-01	6.681575e-01	-4.969091e-03	-2.414175e-01	-1.636795e-03
8	7.200438e+04	1.062457e+01	3.090232e+00	7.897677e-03	2.139808e-02	1.065276e+00	7.812824e-01	6.333302e-01	-4.531171e-03	-2.215399e-01	-1.368287e-03
9	7.200441e+04	1.187452e+01	3.431018e+00	8.960612e-03	-8.047051e-03	1.072173e+00	7.793225e-01	6.327220e-01	-5.027108e-03	-2.685862e-01	-1.423353e-03
10	7.200444e+04	1.312428e+01	3.666120e+00	9.015987e-03	6.022231e-03	1.053837e+00	7.704904e-01	6.290398e-01	-5.601884e-03	-2.584230e-01	-1.412826e-03
11	7.200466e+04	1.437386e+01	3.851227e+00	9.109559e-03	-4.204032e-03	1.036416e+00	7.594950e-01	6.338933e-01	-5.677887e-03	-2.648265e-01	-1.352288e-03
12	7.200281e+04	1.562332e+01	4.000429e+00	9.507093e-03	3.143978e-03	1.025477e+00	7.494653e-01	6.323785e-01	-6.115616e-03	-2.602004e-01	-1.463347e-03
13	7.200266e+04	1.687567e+01	4.134746e+00	9.989190e-03	-2.447504e-03	1.020320e+00	7.417390e-01	6.345139e-01	-6.747575e-03	-2.627361e-01	-1.447130e-03
