Time (s)	1.008750e+04	dt_sampled - EXTRA_TIME	3.837500e+03
 i	 Vol	 Z	 Uavg	 Vavg	 Wavg	 Urms	 Vrms	 Wrms	 UVmean	 UWmean	 VWmean
0	6.299841e+04	6.250091e-01	2.311655e-01	1.694294e-01	-4.955532e-02	5.334348e-01	5.443327e-01	1.485582e-01	-3.209194e-02	-4.406646e-04	4.408617e-05
1	6.299841e+04	1.875173e+00	3.572811e-01	1.992126e-01	2.061703e-02	4.815138e-01	4.914403e-01	2.550578e-01	-2.261352e-02	-7.674984e-03	-3.180888e-03
2	6.299841e+04	3.125400e+00	4.168294e-01	2.124091e-01	-1.171452e-02	4.641372e-01	4.754758e-01	3.119316e-01	-2.006103e-02	-1.189093e-02	-5.708090e-03
3	6.299841e+04	4.375069e+00	4.537313e-01	2.214144e-01	8.200575e-03	4.594408e-01	4.704913e-01	3.453433e-01	-1.852619e-02	-1.515680e-02	-8.088067e-03
4	6.299848e+04	5.625588e+00	4.783064e-01	2.301704e-01	-5.103060e-03	4.576339e-01	4.685561e-01	3.672167e-01	-1.683547e-02	-1.945861e-02	-1.130837e-02
5	6.299848e+04	6.875798e+00	4.964619e-01	2.392913e-01	3.533806e-03	4.566382e-01	4.669582e-01	3.812171e-01	-1.437456e-02	-2.287503e-02	-1.404425e-02
6	6.299851e+04	8.125542e+00	5.137483e-01	2.502974e-01	-2.447901e-03	4.568784e-01	4.663803e-01	3.940424e-01	-1.152970e-02	-2.760088e-02	-1.763583e-02
7	6.299850e+04	9.375190e+00	5.300238e-01	2.638129e-01	1.774829e-03	4.584860e-01	4.666959e-01	4.029900e-01	-8.083576e-03	-3.188011e-02	-2.095787e-02
8	6.300080e+04	1.062495e+01	5.480464e-01	2.808851e-01	-1.296686e-03	4.610037e-01	4.676856e-01	4.116707e-01	-4.403478e-03	-3.721422e-02	-2.505524e-02
9	6.300080e+04	1.187444e+01	5.685657e-01	3.011263e-01	9.991942e-04	4.637864e-01	4.692498e-01	4.181208e-01	-7.770790e-04	-4.259027e-02	-2.912420e-02
