"velocity"
"Time Step" "vx etc.."
("TimeStep" "vx(point-04-000625)" "vx(point-04-040000)" "vx(point-14-040000)" "vy(point-04-000625)" "vy(point-04-040000)" "vy(point-14-040000)" "vz(point-04-000625)" "vz(point-04-040000)" "vz(point-14-040000)" "flow-time")
60000 1.108225 2.42789 1.172862 0.4338251 1.77241 0.231645 0.2585683 -0.2701642 0.01059544 7500
60001 1.114166 2.503664 1.1602 0.4556377 1.789058 0.2230857 0.2479785 -0.1470302 0.02155409 7500.125
60002 1.119884 2.587827 1.147353 0.4767307 1.793671 0.2149045 0.2372894 -0.04431981 0.03202368 7500.25
60003 1.125456 2.665163 1.134513 0.4968318 1.790406 0.206956 0.2270604 0.01396267 0.04198581 7500.375
60004 1.130918 2.725868 1.121866 0.515667 1.778244 0.1991209 0.2177854 0.04391517 0.05143141 7500.5
60005 1.13618 2.772258 1.109555 0.5331878 1.759302 0.1913853 0.2094092 0.04325315 0.06031917 7500.625
60006 1.140991 2.804668 1.097558 0.5494839 1.736512 0.1837293 0.2016687 0.02277751 0.06864738 7500.75
60007 1.145129 2.824598 1.085843 0.5644088 1.709776 0.1760986 0.1943604 -0.009860514 0.07654782 7500.875
60008 1.148768 2.825168 1.074374 0.5776441 1.681239 0.1684596 0.1871969 -0.05624414 0.08413957 7501
60009 1.152099 2.812229 1.063149 0.5882359 1.65331 0.1607917 0.1798917 -0.1135686 0.09149721 7501.125
60010 1.155295 2.788819 1.052147 0.5956171 1.628362 0.1530336 0.172296 -0.1768529 0.09860419 7501.25
60011 1.1584 2.758388 1.041313 0.6001891 1.607529 0.1451654 0.1643651 -0.2393 0.1054653 7501.375
60012 1.161512 2.722421 1.030624 0.6026718 1.59168 0.1371696 0.1561653 -0.2974685 0.1121564 7501.5
60013 1.164991 2.680062 1.020047 0.6036842 1.581378 0.1289797 0.1476021 -0.3502315 0.1188279 7501.625
60014 1.168565 2.631895 1.00954 0.6036439 1.576959 0.1205171 0.1385822 -0.3972854 0.1255523 7501.75
60015 1.171971 2.579725 0.9990562 0.6025937 1.576912 0.111834 0.1291885 -0.439682 0.1324017 7501.875
60016 1.175143 2.522271 0.9886151 0.6006117 1.580491 0.1029178 0.119532 -0.4793152 0.1394381 7502
60017 1.178071 2.462649 0.9782371 0.5978637 1.587603 0.09374496 0.1092284 -0.5149851 0.1466768 7502.125
60018 1.180827 2.405516 0.9679797 0.5944431 1.598598 0.08435651 0.09820904 -0.5449736 0.1541468 7502.25
60019 1.183507 2.353798 0.9578077 0.5904558 1.612814 0.07475448 0.08685012 -0.5691832 0.1618699 7502.375
60020 1.186012 2.306854 0.9476696 0.5859674 1.629533 0.06495084 0.07544822 -0.5845278 0.1699387 7502.5
60021 1.18823 2.264411 0.9375491 0.5811232 1.648623 0.0548966 0.06417631 -0.5916975 0.1784544 7502.625
60022 1.190071 2.230167 0.9274289 0.5760128 1.668504 0.04450182 0.05297473 -0.5928096 0.1874668 7502.75
60023 1.191494 2.204678 0.917307 0.5707161 1.687563 0.03379686 0.04191717 -0.5893315 0.1969863 7502.875
60024 1.192515 2.185136 0.9072288 0.5652282 1.704406 0.02296518 0.03111359 -0.581748 0.2069911 7503
60025 1.193119 2.176319 0.897173 0.5595453 1.71931 0.01207939 0.02052269 -0.5696259 0.2174541 7503.125
60026 1.193217 2.176175 0.8871152 0.5537569 1.731311 0.001077687 0.01027002 -0.5523068 0.2283231 7503.25
60027 1.192674 2.183118 0.8770586 0.5481532 1.739066 -0.01003707 0.002429483 -0.5293685 0.2396152 7503.375
60028 1.191415 2.19737 0.8669457 0.5427529 1.741396 -0.02122166 -0.003764012 -0.500921 0.2512901 7503.5
60029 1.189219 2.219173 0.8567227 0.5375364 1.739844 -0.03241596 -0.009132309 -0.468356 0.2633239 7503.625
60030 1.185948 2.24998 0.8465238 0.5323868 1.735756 -0.04364057 -0.01425367 -0.4323973 0.2757418 7503.75
60031 1.181563 2.288993 0.8364058 0.5272591 1.729894 -0.05487223 -0.01923192 -0.3955603 0.2884837 7503.875
60032 1.175963 2.332978 0.8262329 0.5221234 1.723144 -0.06602497 -0.02408757 -0.3607008 0.3016198 7504
60033 1.169075 2.380036 0.8159041 0.5169732 1.718632 -0.07703174 -0.02881685 -0.3286329 0.3152355 7504.125
60034 1.160733 2.426352 0.8054686 0.5118356 1.718631 -0.08786964 -0.03345769 -0.3008458 0.329343 7504.25
60035 1.15091 2.469025 0.7951586 0.5067272 1.726797 -0.0985297 -0.03797249 -0.2781381 0.3438848 7504.375
60036 1.13978 2.500526 0.7853555 0.5015738 1.744251 -0.1089502 -0.04222399 -0.2610494 0.3587288 7504.5
60037 1.127513 2.516869 0.7763488 0.4963147 1.772701 -0.1190568 -0.04611365 -0.2485144 0.3736774 7504.625
60038 1.114297 2.524807 0.768249 0.4909624 1.812338 -0.1290271 -0.04960996 -0.2439336 0.3886108 7504.75
60039 1.100289 2.527769 0.7610671 0.4855758 1.861845 -0.1389498 -0.05264325 -0.2476764 0.403447 7504.875
60040 1.085662 2.525554 0.7545257 0.480204 1.917722 -0.1485472 -0.05529153 -0.2620786 0.4180657 7505
60041 1.07054 2.516904 0.7484148 0.4749242 1.975062 -0.1574035 -0.05775617 -0.2863626 0.432433 7505.125
60042 1.055029 2.503599 0.7426555 0.4698112 2.03147 -0.1660134 -0.06010978 -0.3176374 0.4465263 7505.25
60043 1.039231 2.487554 0.7371393 0.4648923 2.08182 -0.1746165 -0.06244215 -0.3535901 0.460285 7505.375
60044 1.023295 2.473649 0.7318338 0.4602721 2.124563 -0.1829348 -0.06467809 -0.3920036 0.4738388 7505.5
60045 1.007457 2.460297 0.7268011 0.4563284 2.155012 -0.1905348 -0.06659538 -0.4317598 0.4871821 7505.625
60046 0.9918331 2.447993 0.7220877 0.4531872 2.16785 -0.1971609 -0.06800466 -0.4706231 0.5002669 7505.75
60047 0.9764804 2.436793 0.7177331 0.4506376 2.167023 -0.202719 -0.06886146 -0.4982842 0.5129967 7505.875
60048 0.9613082 2.425874 0.7138169 0.4484367 2.153311 -0.207158 -0.06916175 -0.5182487 0.5251861 7506
60049 0.9461538 2.414367 0.7103823 0.4465252 2.127138 -0.2104192 -0.06888302 -0.5317889 0.5367655 7506.125
60050 0.9309826 2.400776 0.707392 0.4447983 2.09661 -0.2124741 -0.06801213 -0.5409641 0.547728 7506.25
60051 0.915817 2.381992 0.7048013 0.443184 2.061568 -0.2134661 -0.06653693 -0.5421715 0.5580389 7506.375
60052 0.9006535 2.356523 0.7023798 0.4416895 2.027328 -0.2137197 -0.06444031 -0.5338037 0.567839 7506.5
60053 0.8855133 2.323079 0.6997722 0.4403153 1.997137 -0.2133435 -0.06174444 -0.5184307 0.5775145 7506.625
60054 0.8704793 2.280828 0.696876 0.4390914 1.972387 -0.2121174 -0.05853466 -0.4984767 0.5869341 7506.75
60055 0.8556518 2.22974 0.6938539 0.4380287 1.953109 -0.2097979 -0.05487856 -0.4755411 0.5959523 7506.875
60056 0.8411286 2.170497 0.6910392 0.4371234 1.939299 -0.2063478 -0.05081299 -0.4497092 0.6043454 7507
60057 0.8270417 2.104644 0.6887273 0.4363865 1.929097 -0.2018581 -0.04637025 -0.4210951 0.6121464 7507.125
60058 0.8134849 2.033791 0.6870216 0.4357894 1.921685 -0.1965139 -0.04157161 -0.3899916 0.6192421 7507.25
60059 0.8005434 1.959424 0.6859418 0.4353005 1.916921 -0.1904635 -0.03643648 -0.356366 0.6255251 7507.375
60060 0.7882046 1.883545 0.6853884 0.4349167 1.914485 -0.1838452 -0.03102692 -0.3197736 0.6307802 7507.5
60061 0.7764812 1.807621 0.6851895 0.43466 1.91343 -0.1767895 -0.02540745 -0.2791505 0.6347184 7507.625
60062 0.7653359 1.732905 0.6852122 0.4345751 1.913001 -0.1693491 -0.01964305 -0.2340204 0.6372954 7507.75
60063 0.7548096 1.660272 0.6854793 0.4345793 1.913851 -0.1615538 -0.0137313 -0.1828186 0.6384301 7507.875
60064 0.7449124 1.591142 0.685952 0.4345925 1.914731 -0.1534325 -0.007644849 -0.1241913 0.6382632 7508
60065 0.7355939 1.527069 0.686654 0.4344476 1.914536 -0.1448984 -0.001246887 -0.0567308 0.6369531 7508.125
60066 0.7267573 1.469546 0.6881325 0.4341065 1.912786 -0.1360223 0.005396152 0.01917035 0.6342171 7508.25
60067 0.7183416 1.417946 0.6906539 0.4335904 1.909979 -0.1268977 0.01210827 0.103318 0.629936 7508.375
60068 0.7102916 1.372947 0.6939008 0.432918 1.903071 -0.1174744 0.01881553 0.1948805 0.6243511 7508.5
60069 0.7025737 1.334929 0.6975785 0.4320607 1.895496 -0.1078673 0.02546363 0.3032963 0.6177333 7508.625
60070 0.695156 1.3036 0.7016309 0.4309906 1.890687 -0.09811484 0.03201827 0.4203669 0.6101822 7508.75
60071 0.68802 1.277619 0.7061154 0.4297321 1.890007 -0.08828796 0.03843504 0.5363973 0.6017323 7508.875
60072 0.6811361 1.255202 0.7110534 0.4283216 1.900959 -0.07847796 0.04466088 0.6439168 0.5923362 7509
60073 0.6744823 1.235135 0.7165303 0.4267632 1.92202 -0.06873243 0.0506488 0.7427213 0.5819887 7509.125
60074 0.6680327 1.216203 0.7226142 0.4250526 1.949395 -0.05910557 0.05632295 0.8347686 0.5707709 7509.25
60075 0.6617581 1.196131 0.729344 0.4232171 1.985028 -0.04968195 0.06161701 0.903808 0.558761 7509.375
60076 0.6556169 1.172773 0.7367052 0.4212771 2.025814 -0.04053788 0.06650344 0.9499575 0.5459333 7509.5
60077 0.6495869 1.145751 0.7446719 0.4192787 2.066369 -0.03164098 0.07106304 0.9778324 0.5324061 7509.625
60078 0.6436502 1.114192 0.7532471 0.4172649 2.106768 -0.02302061 0.07533466 0.9915382 0.5182933 7509.75
60079 0.6377771 1.079211 0.7624387 0.4152542 2.147677 -0.01472915 0.07922623 0.9916585 0.5037036 7509.875
60080 0.6319652 1.039459 0.7722293 0.4132353 2.184476 -0.006908753 0.08265447 0.9627809 0.4887533 7510
60081 0.6262114 0.9950906 0.7826291 0.4112107 2.21462 0.0002635244 0.08560227 0.9202515 0.4735511 7510.125
60082 0.6205162 0.9489059 0.7935774 0.4091944 2.236157 0.006819273 0.08813517 0.8698781 0.4582773 7510.25
60083 0.6148703 0.9050646 0.8049956 0.4072061 2.245896 0.01287284 0.09027725 0.8124322 0.4430938 7510.375
60084 0.6092539 0.8672463 0.8168312 0.4052221 2.24563 0.01839953 0.09203783 0.7427741 0.4281131 7510.5
60085 0.6036043 0.8351446 0.8290559 0.4032448 2.238136 0.02338087 0.09342375 0.6627998 0.4130704 7510.625
60086 0.5979052 0.8147479 0.8415573 0.401269 2.223284 0.02793717 0.09443013 0.5756481 0.3979592 7510.75
60087 0.5921394 0.8029832 0.8542937 0.3992068 2.202254 0.03217482 0.0950541 0.483768 0.3833545 7510.875
60088 0.5863651 0.7995534 0.8672506 0.3969973 2.176791 0.03605693 0.09512947 0.3912017 0.3695203 7511
60089 0.5805869 0.8059645 0.8803494 0.3946173 2.148138 0.03972138 0.094615 0.3001818 0.3565912 7511.125
60090 0.5747687 0.8236572 0.8934299 0.3920594 2.116891 0.04325641 0.09358951 0.213153 0.3445045 7511.25
60091 0.5688973 0.8511445 0.9063553 0.3892947 2.082704 0.0465968 0.09230591 0.1329512 0.3332509 7511.375
60092 0.5629669 0.8877005 0.9192929 0.3863423 2.044672 0.04980662 0.09089589 0.06161655 0.3231997 7511.5
60093 0.5569782 0.9355075 0.932062 0.3832221 2.010537 0.05323399 0.08940155 -0.0009355529 0.3146552 7511.625
60094 0.5508766 0.9932271 0.9440766 0.3799649 1.981515 0.05684811 0.08782838 -0.05436476 0.3070865 7511.75
60095 0.5446244 1.058639 0.9551563 0.376592 1.95778 0.06074074 0.08618252 -0.1023303 0.3002342 7511.875
60096 0.5382283 1.130212 0.9655149 0.3731062 1.944468 0.06502964 0.08446497 -0.1441515 0.2939386 7512
60097 0.5317103 1.205487 0.9750714 0.3695054 1.9397 0.06975913 0.08267964 -0.1762395 0.2882194 7512.125
60098 0.5251018 1.282518 0.9837782 0.3657759 1.93983 0.07495719 0.0808048 -0.1989278 0.2834365 7512.25
60099 0.5184126 1.359528 0.9915988 0.3618854 1.947341 0.08062237 0.07853628 -0.2146959 0.2801996 7512.375
60100 0.5116524 1.441175 0.9982365 0.3578284 1.959684 0.08675946 0.07578142 -0.2248122 0.2784315 7512.5
60101 0.5048289 1.521431 1.003013 0.3536009 1.974535 0.09332178 0.07260761 -0.2262931 0.27746 7512.625
60102 0.4979493 1.587782 1.006028 0.3492116 1.990284 0.1004175 0.06915306 -0.2163076 0.2769476 7512.75
60103 0.4910319 1.635875 1.007932 0.3446802 2.003518 0.1082607 0.06591708 -0.1994324 0.2766986 7512.875
60104 0.4841208 1.664781 1.009101 0.3400542 2.013848 0.1169027 0.06302211 -0.17737 0.2764742 7513
60105 0.4772393 1.67792 1.009465 0.3353733 2.021677 0.1263608 0.06041312 -0.1506439 0.2763896 7513.125
60106 0.4703982 1.678884 1.009166 0.3306631 2.027088 0.1366351 0.05793445 -0.1196636 0.2765127 7513.25
60107 0.4635966 1.66555 1.007939 0.3259304 2.030658 0.1477096 0.05548695 -0.08568992 0.2767082 7513.375
60108 0.4568496 1.638182 1.005637 0.3210772 2.029114 0.1595839 0.05306714 -0.04640402 0.276968 7513.5
60109 0.4501864 1.605314 1.002072 0.3160256 2.020324 0.1723372 0.05070317 -0.001657706 0.277166 7513.625
60110 0.4436579 1.571629 0.9973491 0.3107747 2.005881 0.1859471 0.04842653 0.04842618 0.2772208 7513.75
60111 0.4372828 1.539071 0.9916598 0.3053586 1.987762 0.2001116 0.04625364 0.1012093 0.2770499 7513.875
