Time (s)	9.993750e+03	dt_sampled - EXTRA_TIME	3.743750e+03
 i	 Vol	 Z	 Uavg	 Vavg	 Wavg	 Urms	 Vrms	 Wrms	 UVmean	 UWmean	 VWmean
0	6.299841e+04	6.250091e-01	2.052528e-01	1.627365e-01	-1.780553e-02	4.736979e-01	5.008531e-01	1.462382e-01	-2.507190e-02	-1.128161e-03	-3.362907e-04
1	6.299841e+04	1.875173e+00	3.235128e-01	1.919079e-01	6.105677e-03	4.269254e-01	4.505343e-01	2.357256e-01	-1.466880e-02	-6.002535e-03	-2.692792e-03
2	6.299841e+04	3.125400e+00	3.761557e-01	2.057368e-01	-2.685748e-03	4.127882e-01	4.336884e-01	2.885936e-01	-1.201187e-02	-1.022256e-02	-4.884864e-03
3	6.299841e+04	4.375069e+00	4.079028e-01	2.169483e-01	2.386344e-03	4.094974e-01	4.268642e-01	3.196595e-01	-1.068970e-02	-1.283035e-02	-7.003377e-03
4	6.299848e+04	5.625588e+00	4.281987e-01	2.279461e-01	-1.364318e-03	4.085336e-01	4.237362e-01	3.396856e-01	-9.151943e-03	-1.646263e-02	-9.484451e-03
5	6.299848e+04	6.875798e+00	4.441538e-01	2.398742e-01	1.018633e-03	4.085032e-01	4.221226e-01	3.534077e-01	-7.128121e-03	-1.947414e-02	-1.182646e-02
6	6.299851e+04	8.125542e+00	4.589391e-01	2.530637e-01	-7.193963e-04	4.092395e-01	4.213525e-01	3.647846e-01	-4.694503e-03	-2.342969e-02	-1.461284e-02
7	6.299850e+04	9.375190e+00	4.740198e-01	2.680653e-01	5.615655e-04	4.110525e-01	4.211363e-01	3.733956e-01	-1.961756e-03	-2.726193e-02	-1.740025e-02
8	6.300080e+04	1.062495e+01	4.914518e-01	2.852440e-01	-4.052971e-04	4.138204e-01	4.224202e-01	3.809023e-01	7.172676e-04	-3.183493e-02	-2.060920e-02
9	6.300080e+04	1.187444e+01	5.113060e-01	3.048634e-01	3.309906e-04	4.174903e-01	4.246457e-01	3.870526e-01	3.583393e-03	-3.669719e-02	-2.392413e-02
10	6.300071e+04	1.312418e+01	5.349183e-01	3.278570e-01	-3.297761e-04	4.223653e-01	4.272764e-01	3.922183e-01	6.505448e-03	-4.235110e-02	-2.763166e-02
11	6.300113e+04	1.437415e+01	5.630560e-01	3.544663e-01	3.233512e-04	4.287876e-01	4.303487e-01	3.961698e-01	9.489086e-03	-4.862077e-02	-3.153883e-02
12	6.300076e+04	1.562402e+01	5.994487e-01	3.860054e-01	-5.082281e-04	4.369056e-01	4.341478e-01	3.985998e-01	1.272831e-02	-5.566679e-02	-3.578821e-02
