Time (s)	9.600000e+03	dt_sampled - EXTRA_TIME	3.600000e+03
 i	 Vol	 Z	 Uavg	 Vavg	 Wavg	 Urms	 Vrms	 Wrms	 UVmean	 UWmean	 VWmean
0	6.299841e+04	6.250091e-01	6.978109e-01	5.682681e-03	-8.603042e-02	9.090110e-01	9.197974e-01	2.565035e-01	-2.050872e-03	1.211581e-03	4.497327e-05
1	6.299841e+04	1.875173e+00	1.030822e+00	6.594101e-04	3.685916e-02	8.368660e-01	7.934405e-01	4.298998e-01	3.127169e-04	-2.943898e-02	7.758158e-05
2	6.299841e+04	3.125400e+00	1.186771e+00	1.580186e-04	-2.169862e-02	8.176252e-01	7.502102e-01	5.148211e-01	1.888848e-03	-4.464880e-02	1.057168e-04
3	6.299841e+04	4.375069e+00	1.277705e+00	1.339684e-04	1.527420e-02	8.160010e-01	7.264857e-01	5.667239e-01	2.410763e-03	-5.039711e-02	1.642446e-04
4	6.299848e+04	5.625588e+00	1.336194e+00	4.827326e-04	-9.952920e-03	8.136888e-01	7.133078e-01	6.007638e-01	2.589894e-03	-6.361825e-02	9.395643e-05
5	6.299848e+04	6.875798e+00	1.376881e+00	3.794924e-04	7.037523e-03	8.115029e-01	7.059349e-01	6.239675e-01	2.335719e-03	-7.100023e-02	1.915701e-04
6	6.299851e+04	8.125542e+00	1.415044e+00	2.054281e-04	-4.950262e-03	8.105816e-01	7.025427e-01	6.448134e-01	9.948185e-04	-8.490349e-02	2.765224e-04
7	6.299850e+04	9.375190e+00	1.451842e+00	2.367109e-04	3.657848e-03	8.125684e-01	7.024436e-01	6.602641e-01	-8.257114e-04	-9.646369e-02	3.474835e-04
8	6.300080e+04	1.062495e+01	1.494597e+00	1.881522e-04	-2.738287e-03	8.179269e-01	7.043254e-01	6.750135e-01	-1.909066e-03	-1.126240e-01	2.941181e-04
9	6.300080e+04	1.187444e+01	1.541095e+00	2.797773e-04	2.163415e-03	8.265362e-01	7.076405e-01	6.864699e-01	-1.084923e-03	-1.288721e-01	2.207663e-04
10	6.300071e+04	1.312418e+01	1.597246e+00	2.953624e-04	-1.805154e-03	8.385038e-01	7.111741e-01	6.967784e-01	6.478148e-04	-1.495498e-01	1.755370e-05
11	6.300113e+04	1.437415e+01	1.661964e+00	-3.611431e-04	1.601745e-03	8.544672e-01	7.159700e-01	7.046836e-01	1.547964e-03	-1.721729e-01	-4.820603e-06
