Time (s)	9.600000e+03	dt_sampled - EXTRA_TIME	3.600000e+03
 i	 Vol	 Z	 Uavg	 Vavg	 Wavg	 Urms	 Vrms	 Wrms	 UVmean	 UWmean	 VWmean
0	6.299841e+04	6.250091e-01	7.353658e-01	2.094080e-03	-9.116770e-02	9.296572e-01	9.282234e-01	2.671964e-01	-5.864640e-03	1.454289e-03	-1.304839e-04
1	6.299841e+04	1.875173e+00	1.079265e+00	4.250664e-03	3.929930e-02	8.555276e-01	8.167415e-01	4.465022e-01	-2.761134e-03	-3.136518e-02	-6.049876e-04
2	6.299841e+04	3.125400e+00	1.241783e+00	3.960023e-03	-2.335892e-02	8.323001e-01	7.799661e-01	5.352378e-01	-2.747301e-03	-4.615571e-02	-6.643558e-04
3	6.299841e+04	4.375069e+00	1.337746e+00	4.611935e-03	1.643521e-02	8.261634e-01	7.614667e-01	5.896664e-01	-3.482106e-03	-5.234198e-02	-6.491964e-04
4	6.299848e+04	5.625588e+00	1.399478e+00	5.952399e-03	-1.076631e-02	8.215803e-01	7.509693e-01	6.258814e-01	-3.298746e-03	-6.576668e-02	-4.636741e-04
5	6.299848e+04	6.875798e+00	1.442582e+00	7.224968e-03	7.608384e-03	8.190678e-01	7.454199e-01	6.509411e-01	-2.398116e-03	-7.399581e-02	-3.804849e-04
6	6.299851e+04	8.125542e+00	1.482640e+00	7.929981e-03	-5.347911e-03	8.180133e-01	7.431079e-01	6.732875e-01	-1.446062e-03	-8.881674e-02	-2.361828e-04
7	6.299850e+04	9.375190e+00	1.521080e+00	7.830543e-03	3.947397e-03	8.194352e-01	7.423871e-01	6.897916e-01	-2.962884e-04	-1.015070e-01	6.926667e-05
8	6.300080e+04	1.062495e+01	1.564364e+00	7.313154e-03	-2.932252e-03	8.240631e-01	7.430634e-01	7.055174e-01	4.227388e-04	-1.192324e-01	3.498437e-04
9	6.300080e+04	1.187444e+01	1.611095e+00	5.922578e-03	2.324062e-03	8.314095e-01	7.456166e-01	7.178565e-01	2.483854e-04	-1.373244e-01	7.565780e-04
10	6.300071e+04	1.312418e+01	1.667629e+00	4.106767e-03	-1.951151e-03	8.427908e-01	7.494844e-01	7.289500e-01	-4.302261e-04	-1.602067e-01	1.038706e-03
11	6.300113e+04	1.437415e+01	1.732723e+00	2.295362e-03	1.745247e-03	8.587204e-01	7.548358e-01	7.374364e-01	-1.515648e-03	-1.852296e-01	1.344912e-03
12	6.300076e+04	1.562402e+01	1.817079e+00	6.391260e-04	-1.909420e-03	8.789420e-01	7.604530e-01	7.431946e-01	-2.498670e-03	-2.148454e-01	1.321930e-03
13	6.300066e+04	1.687446e+01	1.917393e+00	-1.230346e-03	1.825258e-03	9.044523e-01	7.672852e-01	7.457116e-01	-3.666498e-03	-2.468530e-01	1.340654e-03
14	6.299325e+04	1.812432e+01	2.057558e+00	-2.939367e-03	-2.484433e-03	9.378552e-01	7.758690e-01	7.427204e-01	-4.973711e-03	-2.827443e-01	1.113565e-03
15	6.299300e+04	1.937633e+01	2.236207e+00	-4.620549e-03	2.055101e-03	9.823860e-01	7.886111e-01	7.378843e-01	-6.100454e-03	-3.164728e-01	1.030916e-03
16	7.200361e+04	2.062462e+01	2.396110e+00	-5.934744e-03	1.659240e-02	1.064374e+00	8.346240e-01	6.857213e-01	-1.001328e-02	-2.888887e-01	5.676796e-04
