Time (s)	1.100000e+04	dt_sampled - EXTRA_TIME	5.000000e+03
 i	 Vol	 Z	 Uavg	 Vavg	 Wavg	 Urms	 Vrms	 Wrms	 UVmean	 UWmean	 VWmean
0	6.299784e+04	6.250523e-01	-1.901596e-02	1.901769e-01	-4.051326e-02	4.396555e-01	4.172837e-01	1.176414e-01	4.981676e-03	-3.707324e-04	8.929452e-06
1	6.299783e+04	1.875121e+00	5.025515e-02	2.482024e-01	1.712922e-02	3.833336e-01	3.715131e-01	2.001043e-01	7.880629e-03	-3.585056e-03	-2.660692e-03
2	6.299784e+04	3.125299e+00	8.624870e-02	2.781409e-01	-9.533118e-03	3.633348e-01	3.563944e-01	2.460790e-01	6.706369e-03	-5.374567e-03	-4.173643e-03
3	6.299784e+04	4.375255e+00	1.118414e-01	2.950605e-01	6.572727e-03	3.576908e-01	3.517947e-01	2.730327e-01	5.764751e-03	-6.944217e-03	-4.896886e-03
4	6.299784e+04	5.625647e+00	1.301261e-01	3.062653e-01	-4.003372e-03	3.566888e-01	3.510433e-01	2.915521e-01	5.187461e-03	-8.488478e-03	-6.215060e-03
5	6.299786e+04	6.875608e+00	1.439330e-01	3.130584e-01	2.745904e-03	3.570004e-01	3.511798e-01	3.030329e-01	5.124639e-03	-9.602891e-03	-6.667798e-03
6	6.299783e+04	8.125446e+00	1.550107e-01	3.181566e-01	-1.827343e-03	3.585251e-01	3.524079e-01	3.140571e-01	5.305754e-03	-1.098793e-02	-7.696872e-03
7	6.299782e+04	9.375257e+00	1.641578e-01	3.211394e-01	1.295520e-03	3.607067e-01	3.543894e-01	3.220556e-01	5.523792e-03	-1.210087e-02	-8.173421e-03
8	6.299949e+04	1.062479e+01	1.724612e-01	3.233692e-01	-8.661223e-04	3.634312e-01	3.574501e-01	3.303996e-01	5.701682e-03	-1.352033e-02	-9.012784e-03
9	6.299946e+04	1.187454e+01	1.800734e-01	3.248019e-01	6.343610e-04	3.662581e-01	3.612559e-01	3.372395e-01	5.928503e-03	-1.483768e-02	-9.569163e-03
10	6.299949e+04	1.312445e+01	1.879426e-01	3.262056e-01	-4.237906e-04	3.693203e-01	3.654971e-01	3.442733e-01	6.161509e-03	-1.639674e-02	-1.031219e-02
11	6.299938e+04	1.437473e+01	1.962314e-01	3.271742e-01	3.235073e-04	3.728148e-01	3.699196e-01	3.504083e-01	6.404187e-03	-1.795537e-02	-1.093034e-02
12	6.299890e+04	1.562502e+01	2.048803e-01	3.280457e-01	-2.034892e-04	3.765671e-01	3.749826e-01	3.565575e-01	6.577751e-03	-1.979189e-02	-1.169617e-02
13	6.299915e+04	1.687572e+01	2.138135e-01	3.286514e-01	1.586776e-04	3.805011e-01	3.805475e-01	3.621120e-01	6.623719e-03	-2.168225e-02	-1.248148e-02
14	6.299370e+04	1.812448e+01	2.237418e-01	3.296846e-01	-7.419623e-05	3.849840e-01	3.863463e-01	3.676520e-01	6.695796e-03	-2.379763e-02	-1.342170e-02
15	6.299370e+04	1.937678e+01	2.345650e-01	3.313724e-01	8.116402e-05	3.899751e-01	3.919266e-01	3.728260e-01	6.913458e-03	-2.598322e-02	-1.438679e-02
16	6.273099e+04	2.062250e+01	2.462540e-01	3.335350e-01	-6.966940e-05	3.952451e-01	3.973477e-01	3.781844e-01	7.248277e-03	-2.840828e-02	-1.552546e-02
17	6.273081e+04	2.186706e+01	2.588939e-01	3.362465e-01	6.169073e-05	4.006115e-01	4.026831e-01	3.833134e-01	7.586421e-03	-3.097526e-02	-1.670366e-02
18	6.276318e+04	2.311179e+01	2.727431e-01	3.395848e-01	-7.219518e-05	4.063268e-01	4.078154e-01	3.884695e-01	8.034137e-03	-3.381976e-02	-1.801339e-02
19	6.276320e+04	2.435723e+01	2.879649e-01	3.432138e-01	4.556361e-05	4.118547e-01	4.126353e-01	3.934554e-01	8.689528e-03	-3.683022e-02	-1.943703e-02
20	6.298276e+04	2.560505e+01	3.047792e-01	3.471847e-01	-5.659486e-05	4.171957e-01	4.174326e-01	3.981839e-01	9.508626e-03	-4.004940e-02	-2.101310e-02
21	6.298271e+04	2.685461e+01	3.232893e-01	3.521857e-01	3.215460e-05	4.226262e-01	4.219540e-01	4.027228e-01	1.038657e-02	-4.352557e-02	-2.278752e-02
22	6.310253e+04	2.810490e+01	3.435789e-01	3.581786e-01	-5.575527e-05	4.281587e-01	4.262756e-01	4.070097e-01	1.135350e-02	-4.727244e-02	-2.478277e-02
23	6.310250e+04	2.935710e+01	3.661688e-01	3.652103e-01	4.958443e-05	4.342695e-01	4.303717e-01	4.111699e-01	1.236324e-02	-5.134033e-02	-2.707278e-02
24	6.310306e+04	3.060934e+01	3.913050e-01	3.735310e-01	-9.969249e-05	4.406171e-01	4.345680e-01	4.150990e-01	1.371619e-02	-5.573371e-02	-2.970935e-02
25	6.310311e+04	3.186057e+01	4.190473e-01	3.835190e-01	9.737242e-05	4.475338e-01	4.391956e-01	4.187882e-01	1.541848e-02	-6.051303e-02	-3.270667e-02
26	6.310338e+04	3.311409e+01	4.504919e-01	3.962930e-01	-1.978764e-04	4.552326e-01	4.443748e-01	4.219901e-01	1.734613e-02	-6.574596e-02	-3.614242e-02
27	6.310340e+04	3.436449e+01	4.856037e-01	4.120849e-01	2.150675e-04	4.638556e-01	4.501378e-01	4.247126e-01	1.986646e-02	-7.150172e-02	-4.008853e-02
28	6.310352e+04	3.561813e+01	5.268909e-01	4.326667e-01	-4.886938e-04	4.740942e-01	4.570432e-01	4.264594e-01	2.299654e-02	-7.775732e-02	-4.457704e-02
29	6.310347e+04	3.686981e+01	5.735969e-01	4.578595e-01	5.193705e-04	4.867450e-01	4.656897e-01	4.270422e-01	2.758122e-02	-8.474661e-02	-4.970515e-02
30	6.305648e+04	3.812090e+01	6.326468e-01	4.932564e-01	-8.618932e-04	5.041671e-01	4.770993e-01	4.259459e-01	3.399985e-02	-9.239797e-02	-5.549914e-02
31	6.305654e+04	3.937189e+01	7.042017e-01	5.392812e-01	7.521576e-04	5.295184e-01	4.930872e-01	4.246986e-01	4.430126e-02	-1.006971e-01	-6.188262e-02
32	7.200617e+04	4.062586e+01	8.015738e-01	5.999987e-01	4.779587e-03	5.686182e-01	5.251182e-01	3.916125e-01	6.603724e-02	-9.287108e-02	-5.791814e-02
33	7.200606e+04	4.187104e+01	8.825696e-01	6.530353e-01	-2.276261e-03	5.821593e-01	5.311956e-01	3.916424e-01	6.123495e-02	-9.679647e-02	-5.976616e-02
34	7.200596e+04	4.312565e+01	9.440767e-01	6.939893e-01	1.690492e-03	5.886327e-01	5.340703e-01	3.953747e-01	5.820510e-02	-9.555673e-02	-5.883071e-02
