"velocity"
"Time Step" "vx etc.."
("TimeStep" "vx(point-04-000625)" "vx(point-04-080000)" "vx(point-14-080000)" "vy(point-04-000625)" "vy(point-04-080000)" "vy(point-14-080000)" "vz(point-04-000625)" "vz(point-04-080000)" "vz(point-14-080000)" "flow-time")
48001 0.5176857 3.051867 3.384729 0.6598165 1.103446 0.5827288 -0.1071578 -0.2755387 -0.368114 6000.125
48002 0.5145496 3.010346 3.377299 0.658357 1.177328 0.5901517 -0.1132938 -0.2073852 -0.3678781 6000.25
48003 0.5112379 2.966544 3.36954 0.656921 1.250526 0.5993274 -0.1193439 -0.1271695 -0.3695142 6000.375
48004 0.5077567 2.92044 3.361276 0.6555298 1.32641 0.6101147 -0.1251157 -0.03480173 -0.3728187 6000.5
48005 0.5041364 2.871447 3.352151 0.654166 1.395886 0.6222231 -0.1305859 0.06681246 -0.378056 6000.625
48006 0.5004194 2.819194 3.342256 0.6527799 1.449568 0.6352252 -0.1357641 0.1759881 -0.3855028 6000.75
48007 0.496622 2.766255 3.331987 0.6513252 1.486277 0.6487182 -0.1406455 0.2882535 -0.3953851 6000.875
48008 0.4927289 2.712409 3.321502 0.6497573 1.505873 0.6624159 -0.1452011 0.4019125 -0.4075476 6001
48009 0.4887789 2.656282 3.310923 0.6480351 1.510458 0.6761564 -0.1494532 0.5182976 -0.4216459 6001.125
48010 0.4848135 2.598805 3.300517 0.6462452 1.504451 0.689926 -0.1534049 0.6276132 -0.4374359 6001.25
48011 0.480838 2.549751 3.290614 0.64437 1.492206 0.7035753 -0.1570452 0.7200745 -0.4542406 6001.375
48012 0.4768803 2.515439 3.281472 0.6422052 1.469948 0.7168416 -0.1603909 0.7901021 -0.4717822 6001.5
48013 0.4729376 2.495681 3.273081 0.6397775 1.437034 0.7298983 -0.163463 0.8195919 -0.4894839 6001.625
48014 0.4690236 2.495273 3.265795 0.6371164 1.390954 0.7427672 -0.166292 0.8280824 -0.5068222 6001.75
48015 0.4651711 2.510165 3.259485 0.6342357 1.325551 0.7555652 -0.1688955 0.8288003 -0.523322 6001.875
48016 0.4613982 2.537619 3.253925 0.6311569 1.240949 0.768425 -0.1712879 0.8255177 -0.5388051 6002
48017 0.4577061 2.574817 3.248638 0.6278775 1.140223 0.7813026 -0.1733214 0.8206801 -0.5530964 6002.125
48018 0.4540929 2.61778 3.243029 0.624441 1.031361 0.7941249 -0.1749436 0.8141507 -0.5664463 6002.25
48019 0.4505934 2.667339 3.2369 0.6208591 0.918807 0.8068915 -0.1761059 0.8041245 -0.5789989 6002.375
48020 0.4472463 2.71103 3.230134 0.6171485 0.8053451 0.8194634 -0.1767699 0.790602 -0.5910866 6002.5
48021 0.444028 2.745396 3.222497 0.6133063 0.6952866 0.8315778 -0.1769853 0.7743083 -0.6026852 6002.625
48022 0.4409273 2.767212 3.213509 0.6092516 0.5929897 0.8428363 -0.1768735 0.7571812 -0.613562 6002.75
48023 0.437932 2.774268 3.203327 0.6048864 0.5009581 0.852835 -0.1766222 0.7411117 -0.6240393 6002.875
48024 0.4350851 2.77246 3.191851 0.6002758 0.4198278 0.8613914 -0.1763328 0.7271378 -0.6341973 6003
48025 0.432422 2.766447 3.178247 0.5955397 0.3516595 0.8674842 -0.1760591 0.7151948 -0.6441505 6003.125
48026 0.4299556 2.754118 3.16329 0.5907065 0.2977298 0.8707425 -0.1758179 0.7043221 -0.6540964 6003.25
48027 0.4276656 2.736678 3.148045 0.5857727 0.2562358 0.8719044 -0.1756225 0.6958987 -0.6639514 6003.375
48028 0.4255289 2.715141 3.133035 0.5807291 0.2249384 0.8715231 -0.1754964 0.6894445 -0.6735803 6003.5
48029 0.4235327 2.690546 3.118633 0.5755857 0.2025066 0.8704441 -0.1754629 0.6845418 -0.6829904 6003.625
48030 0.4216846 2.665871 3.10514 0.5703612 0.1875428 0.8684605 -0.1755257 0.6806953 -0.6919598 6003.75
48031 0.419976 2.637813 3.092438 0.565074 0.179175 0.8657565 -0.1756733 0.6770447 -0.7004431 6003.875
48032 0.4183961 2.607682 3.080366 0.559714 0.1757761 0.8624548 -0.1758851 0.6737882 -0.7082632 6004
48033 0.4169373 2.579697 3.068335 0.5542699 0.1761129 0.8585362 -0.1760955 0.6704274 -0.7159857 6004.125
48034 0.4155736 2.555144 3.055906 0.5487527 0.1779123 0.8543294 -0.1762644 0.6669689 -0.7222847 6004.25
48035 0.4142299 2.533677 3.042728 0.5431973 0.1797818 0.8499309 -0.176388 0.6630317 -0.7267563 6004.375
48036 0.4128523 2.516209 3.028573 0.5376284 0.180539 0.8463206 -0.1764485 0.6560137 -0.7284421 6004.5
48037 0.4114121 2.506723 3.01302 0.5320575 0.1796938 0.8438036 -0.1764279 0.6475775 -0.7276152 6004.625
48038 0.4099053 2.501225 2.99583 0.5264898 0.1763294 0.8426114 -0.1763204 0.6404181 -0.7258067 6004.75
48039 0.4083332 2.498538 2.977039 0.5209326 0.1689922 0.8432484 -0.1761273 0.6358241 -0.7235443 6004.875
48040 0.4066959 2.500622 2.956887 0.5153873 0.1573939 0.8454094 -0.175828 0.6333749 -0.7204284 6005
48041 0.4049874 2.507966 2.935572 0.5098523 0.1416355 0.848249 -0.1754006 0.6342372 -0.7163269 6005.125
48042 0.4032103 2.519699 2.913337 0.5043323 0.1222307 0.851541 -0.1748405 0.636729 -0.7111067 6005.25
48043 0.4013663 2.535807 2.890431 0.4988224 0.09933157 0.8550887 -0.174156 0.6411068 -0.7048814 6005.375
48044 0.3994629 2.555452 2.867075 0.4933242 0.07402405 0.8586397 -0.1733616 0.6479579 -0.6977831 6005.5
48045 0.397496 2.576845 2.843545 0.4878509 0.04558067 0.8619635 -0.1724665 0.6579017 -0.6898649 6005.625
48046 0.3954406 2.597912 2.81985 0.4823988 0.01620503 0.8649331 -0.1714833 0.6708354 -0.6812032 6005.75
48047 0.3932792 2.617483 2.795951 0.476973 -0.01103788 0.8674026 -0.1704131 0.6869805 -0.6718017 6005.875
48048 0.3909856 2.633598 2.771756 0.4715484 -0.03339503 0.8693391 -0.1692505 0.7056262 -0.661702 6006
48049 0.3885572 2.644389 2.747252 0.4660971 -0.05101899 0.8707952 -0.1679991 0.72636 -0.6510864 6006.125
48050 0.3860094 2.648747 2.722378 0.4606029 -0.0639662 0.8719234 -0.1666562 0.7491277 -0.6399667 6006.25
48051 0.3833619 2.648778 2.696963 0.4550648 -0.06844354 0.8728551 -0.1651857 0.7740359 -0.6283407 6006.375
48052 0.3806065 2.638785 2.670856 0.4494741 -0.06706912 0.8737475 -0.1634966 0.8020291 -0.6160669 6006.5
48053 0.3777654 2.616826 2.643974 0.4438243 -0.05996933 0.8750089 -0.1616182 0.8340694 -0.6028855 6006.625
48054 0.3748696 2.584276 2.616258 0.4381248 -0.0477034 0.8769397 -0.1595621 0.8719118 -0.5885603 6006.75
48055 0.3719488 2.541564 2.587616 0.4323909 -0.03095557 0.8796184 -0.1571254 0.9167488 -0.5728668 6006.875
48056 0.3690019 2.488877 2.558001 0.426624 -0.0103892 0.8831674 -0.1542062 0.9685625 -0.5557129 6007
48057 0.3660518 2.428039 2.527451 0.4208216 0.01320485 0.8877135 -0.1508169 1.025913 -0.5371466 6007.125
48058 0.363167 2.356831 2.495972 0.4149767 0.03800888 0.8933801 -0.1470042 1.088312 -0.5172913 6007.25
48059 0.360395 2.264185 2.463707 0.4090927 0.06231118 0.9002026 -0.1428296 1.158475 -0.4961044 6007.375
48060 0.357775 2.162471 2.430989 0.4031737 0.08524926 0.9082079 -0.1383275 1.224649 -0.4735378 6007.5
48061 0.3553569 2.062587 2.397986 0.3972398 0.1082142 0.9174914 -0.1335174 1.281014 -0.4497085 6007.625
48062 0.3532337 1.975711 2.363662 0.3913222 0.1274769 0.9278654 -0.1284514 1.32662 -0.424684 6007.75
48063 0.3514462 1.904596 2.328576 0.3854456 0.1419486 0.9390917 -0.1232101 1.362438 -0.3986522 6007.875
48064 0.3499942 1.849944 2.295198 0.379627 0.1506184 0.9512693 -0.1178342 1.381781 -0.3718886 6008
48065 0.3488697 1.809505 2.264528 0.3738925 0.1517459 0.9640279 -0.1123818 1.385247 -0.3452913 6008.125
48066 0.3480566 1.779057 2.237215 0.3682507 0.1494991 0.9770989 -0.1068209 1.377079 -0.3194976 6008.25
48067 0.3475138 1.757148 2.213618 0.3627001 0.1449816 0.9905814 -0.1011609 1.361 -0.2936671 6008.375
48068 0.3472004 1.740892 2.194039 0.3572424 0.1411098 1.004564 -0.09545498 1.338519 -0.2686941 6008.5
48069 0.3470779 1.727861 2.180138 0.351888 0.1384598 1.01878 -0.08976018 1.305303 -0.2449937 6008.625
48070 0.3471188 1.718271 2.170626 0.346632 0.1372045 1.032784 -0.08412146 1.26343 -0.2223726 6008.75
48071 0.3473057 1.713887 2.164739 0.3414698 0.1359684 1.04607 -0.07856072 1.214208 -0.2007477 6008.875
48072 0.3476158 1.716679 2.161966 0.336412 0.1343498 1.058304 -0.07311144 1.157768 -0.1800413 6009
48073 0.3480048 1.725947 2.162974 0.3314027 0.1325594 1.070623 -0.06780561 1.093462 -0.15975 6009.125
48074 0.3484824 1.741039 2.169404 0.3264014 0.1317727 1.079494 -0.06269238 1.022003 -0.1393157 6009.25
48075 0.3490584 1.761428 2.182272 0.3213894 0.1350746 1.083575 -0.05779592 0.9455016 -0.1187788 6009.375
48076 0.3497503 1.787064 2.19887 0.3163608 0.1410134 1.083649 -0.0531369 0.8657249 -0.09872146 6009.5
48077 0.3505516 1.816615 2.218071 0.3113202 0.1490856 1.079014 -0.04875525 0.7853258 -0.07680668 6009.625
48078 0.3514445 1.850816 2.239183 0.3062651 0.1602075 1.069068 -0.04464146 0.6970204 -0.05514469 6009.75
48079 0.3524329 1.889822 2.262257 0.3012003 0.1770045 1.055807 -0.04079482 0.6120734 -0.03715021 6009.875
48080 0.3535282 1.932496 2.287154 0.2961346 0.201854 1.040171 -0.03722634 0.5380349 -0.02358767 6010
48081 0.3547247 1.97665 2.31396 0.2910695 0.2351276 1.022094 -0.0338988 0.4772448 -0.01753859 6010.125
48082 0.3560173 2.022166 2.341922 0.2860303 0.2764939 1.00134 -0.03088698 0.4294176 -0.01746267 6010.25
48083 0.3574029 2.069234 2.370677 0.2810171 0.3254409 0.9778694 -0.02811192 0.4021095 -0.02052703 6010.375
48084 0.3588806 2.115871 2.400278 0.2760194 0.3803451 0.9516159 -0.02552692 0.3948748 -0.02491964 6010.5
48085 0.3604578 2.160834 2.429154 0.2710299 0.4409255 0.9228212 -0.02311299 0.3981327 -0.03167991 6010.625
48086 0.3621649 2.204664 2.45652 0.266055 0.5062953 0.8921356 -0.02085477 0.4107286 -0.0406061 6010.75
48087 0.3640089 2.247146 2.482241 0.2610856 0.5730606 0.8604741 -0.01874761 0.435197 -0.0522619 6010.875
48088 0.3659946 2.287864 2.505841 0.2561224 0.6392233 0.8289319 -0.01677026 0.4805614 -0.06721941 6011
48089 0.3681194 2.328271 2.525677 0.2511627 0.703209 0.7984936 -0.01489853 0.5379567 -0.08600292 6011.125
48090 0.3703682 2.367888 2.541267 0.2462018 0.7649167 0.7701819 -0.01313134 0.5969098 -0.1082292 6011.25
48091 0.3727187 2.405154 2.55216 0.2412287 0.8217785 0.7441192 -0.0114666 0.6540173 -0.1334473 6011.375
48092 0.3751465 2.44139 2.558999 0.2361699 0.8720772 0.7217577 -0.00990359 0.7048101 -0.1613608 6011.5
48093 0.377662 2.47825 2.562644 0.2310098 0.914031 0.7013838 -0.008488839 0.7343281 -0.1910743 6011.625
48094 0.3802836 2.516695 2.563702 0.2257692 0.9453096 0.6853469 -0.007238617 0.7444581 -0.2225121 6011.75
48095 0.3830087 2.557374 2.562357 0.2204769 0.9649624 0.6755807 -0.006141503 0.7458708 -0.2555717 6011.875
48096 0.3858328 2.598926 2.559788 0.2151476 0.974568 0.6712002 -0.005182138 0.7430875 -0.2893515 6012
48097 0.3887349 2.64053 2.55703 0.2098 0.9764017 0.6709864 -0.004348197 0.7368054 -0.3234648 6012.125
48098 0.391698 2.682403 2.552701 0.2044467 0.9731689 0.6741328 -0.003628951 0.7248123 -0.3582051 6012.25
48099 0.3947223 2.721654 2.546215 0.1990969 0.9671902 0.6818044 -0.003013296 0.7067051 -0.3934494 6012.375
48100 0.3978025 2.756799 2.537961 0.1937469 0.9608638 0.6917959 -0.002486247 0.6799059 -0.4289058 6012.5
48101 0.4009247 2.787862 2.528407 0.188384 0.9559427 0.7022617 -0.002044354 0.6431419 -0.464406 6012.625
48102 0.404076 2.814224 2.517898 0.1830201 0.9535701 0.7122274 -0.001687689 0.5982683 -0.4994319 6012.75
48103 0.4072471 2.834756 2.50579 0.1776852 0.955638 0.7217886 -0.00140966 0.5467827 -0.5335808 6012.875
48104 0.4104359 2.848736 2.492106 0.172409 0.9629224 0.7310188 -0.00121712 0.490794 -0.5662589 6013
48105 0.4136308 2.85579 2.477035 0.1672102 0.9792348 0.7398056 -0.001132452 0.4327428 -0.596541 6013.125
48106 0.4168015 2.856553 2.460382 0.1620903 0.9976038 0.7478091 -0.001166763 0.3760492 -0.6236886 6013.25
48107 0.419959 2.853939 2.441644 0.1570486 1.015713 0.7546948 -0.001307245 0.3233439 -0.6503801 6013.375
48108 0.4231101 2.849659 2.42063 0.1520866 1.025026 0.7605134 -0.001529342 0.2765858 -0.6725037 6013.5
48109 0.4262514 2.84581 2.397498 0.1471946 1.026509 0.7659277 -0.001814714 0.2373514 -0.6899738 6013.625
