Time (s)	1.000000e+04	dt_sampled - EXTRA_TIME	3.737500e+03
 i	 Vol	 Z	 Uavg	 Vavg	 Wavg	 Urms	 Vrms	 Wrms	 UVmean	 UWmean	 VWmean
0	6.299784e+04	6.250523e-01	-3.703473e-03	1.712978e-01	-9.546673e-03	3.662142e-01	3.413596e-01	1.108800e-01	4.112034e-04	-1.066571e-04	-2.536888e-04
1	6.299783e+04	1.875121e+00	2.637785e-02	2.432774e-01	2.999303e-03	3.194284e-01	2.981535e-01	1.731387e-01	3.166232e-03	-1.940437e-03	-2.465457e-03
2	6.299784e+04	3.125299e+00	4.438754e-02	2.773288e-01	-8.151338e-04	3.038188e-01	2.871385e-01	2.107116e-01	3.239864e-03	-3.161668e-03	-3.942566e-03
3	6.299784e+04	4.375255e+00	5.822303e-02	2.969549e-01	1.033547e-03	2.999863e-01	2.861563e-01	2.317913e-01	3.208235e-03	-4.198599e-03	-4.487189e-03
4	6.299784e+04	5.625647e+00	6.882092e-02	3.092397e-01	-5.241821e-04	2.999570e-01	2.871468e-01	2.458142e-01	3.326929e-03	-5.261926e-03	-5.433214e-03
5	6.299786e+04	6.875608e+00	7.773275e-02	3.171344e-01	4.193133e-04	3.013842e-01	2.888794e-01	2.555634e-01	3.532767e-03	-6.079505e-03	-5.898531e-03
6	6.299783e+04	8.125446e+00	8.583632e-02	3.230819e-01	-2.705494e-04	3.035615e-01	2.913865e-01	2.642442e-01	3.660354e-03	-7.054641e-03	-6.578268e-03
7	6.299782e+04	9.375257e+00	9.380020e-02	3.277076e-01	2.186542e-04	3.061664e-01	2.942706e-01	2.715083e-01	4.011269e-03	-7.978077e-03	-7.032842e-03
8	6.299949e+04	1.062479e+01	1.019333e-01	3.319900e-01	-1.413688e-04	3.091874e-01	2.976543e-01	2.785527e-01	4.511409e-03	-9.061165e-03	-7.590397e-03
9	6.299946e+04	1.187454e+01	1.103598e-01	3.360226e-01	1.343131e-04	3.125058e-01	3.015384e-01	2.847703e-01	4.970059e-03	-1.011011e-02	-8.010597e-03
10	6.299949e+04	1.312445e+01	1.192893e-01	3.399583e-01	-8.218436e-05	3.162766e-01	3.058116e-01	2.907858e-01	5.422639e-03	-1.128525e-02	-8.518720e-03
11	6.299938e+04	1.437473e+01	1.289605e-01	3.438568e-01	9.576408e-05	3.205792e-01	3.101165e-01	2.963727e-01	5.923443e-03	-1.248616e-02	-8.972005e-03
12	6.299890e+04	1.562502e+01	1.390403e-01	3.476982e-01	-5.243625e-05	3.252624e-01	3.145561e-01	3.020153e-01	6.304435e-03	-1.379846e-02	-9.504378e-03
13	6.299915e+04	1.687572e+01	1.497961e-01	3.513762e-01	5.138039e-05	3.298763e-01	3.191133e-01	3.075808e-01	6.587114e-03	-1.515769e-02	-1.005397e-02
14	6.299370e+04	1.812448e+01	1.612683e-01	3.549498e-01	-2.223763e-05	3.343140e-01	3.236804e-01	3.130658e-01	6.875337e-03	-1.662260e-02	-1.065828e-02
15	6.299370e+04	1.937678e+01	1.730487e-01	3.583601e-01	6.260559e-05	3.387455e-01	3.286230e-01	3.183816e-01	7.279723e-03	-1.813882e-02	-1.125695e-02
16	6.273099e+04	2.062250e+01	1.853055e-01	3.613414e-01	-2.925406e-05	3.431490e-01	3.339718e-01	3.236744e-01	7.830737e-03	-1.974551e-02	-1.192550e-02
17	6.273081e+04	2.186706e+01	1.985209e-01	3.643894e-01	4.957270e-05	3.476987e-01	3.393084e-01	3.288616e-01	8.476404e-03	-2.147551e-02	-1.269752e-02
18	6.276318e+04	2.311179e+01	2.127762e-01	3.676265e-01	-3.501792e-05	3.524033e-01	3.448457e-01	3.339488e-01	9.127020e-03	-2.334898e-02	-1.356538e-02
19	6.276320e+04	2.435723e+01	2.278635e-01	3.711105e-01	8.609092e-06	3.575662e-01	3.500418e-01	3.389062e-01	9.786716e-03	-2.545873e-02	-1.451564e-02
20	6.298276e+04	2.560505e+01	2.440358e-01	3.749278e-01	-5.950820e-07	3.630967e-01	3.552971e-01	3.436557e-01	1.042996e-02	-2.772174e-02	-1.565864e-02
21	6.298271e+04	2.685461e+01	2.620332e-01	3.790807e-01	-1.020287e-05	3.688543e-01	3.605545e-01	3.484376e-01	1.120287e-02	-3.015875e-02	-1.702101e-02
22	6.310253e+04	2.810490e+01	2.817077e-01	3.838752e-01	-1.514012e-05	3.745995e-01	3.656189e-01	3.531515e-01	1.196761e-02	-3.283577e-02	-1.858320e-02
23	6.310250e+04	2.935710e+01	3.038126e-01	3.901880e-01	1.177370e-05	3.805492e-01	3.704878e-01	3.578553e-01	1.275009e-02	-3.580449e-02	-2.042475e-02
24	6.310306e+04	3.060934e+01	3.287343e-01	3.979003e-01	-7.046435e-05	3.865615e-01	3.752161e-01	3.623261e-01	1.344407e-02	-3.905997e-02	-2.256123e-02
25	6.310311e+04	3.186057e+01	3.564804e-01	4.075724e-01	7.304664e-05	3.934655e-01	3.803068e-01	3.666264e-01	1.437938e-02	-4.269731e-02	-2.509857e-02
26	6.310338e+04	3.311409e+01	3.877700e-01	4.202790e-01	-1.700971e-04	4.011947e-01	3.857395e-01	3.704874e-01	1.577900e-02	-4.674521e-02	-2.811553e-02
27	6.310340e+04	3.436449e+01	4.223669e-01	4.362084e-01	1.751803e-04	4.096826e-01	3.918677e-01	3.740083e-01	1.786887e-02	-5.127773e-02	-3.181601e-02
28	6.310352e+04	3.561813e+01	4.625062e-01	4.579686e-01	-4.234155e-04	4.194404e-01	3.988967e-01	3.767033e-01	2.071999e-02	-5.620654e-02	-3.624480e-02
29	6.310347e+04	3.686981e+01	5.084000e-01	4.854400e-01	4.635167e-04	4.308945e-01	4.075797e-01	3.785427e-01	2.494767e-02	-6.171709e-02	-4.156131e-02
30	6.305648e+04	3.812090e+01	5.654410e-01	5.247710e-01	-8.157612e-04	4.453376e-01	4.191266e-01	3.790062e-01	3.117217e-02	-6.770539e-02	-4.765235e-02
31	6.305654e+04	3.937189e+01	6.331812e-01	5.773754e-01	6.623145e-04	4.656814e-01	4.360612e-01	3.787924e-01	4.058102e-02	-7.432581e-02	-5.436235e-02
32	7.200617e+04	4.062586e+01	7.277253e-01	6.491779e-01	4.843926e-03	4.950164e-01	4.686797e-01	3.510720e-01	5.709706e-02	-6.933035e-02	-5.152457e-02
33	7.200606e+04	4.187104e+01	8.011038e-01	7.127035e-01	-2.230096e-03	5.020041e-01	4.732637e-01	3.526159e-01	5.327939e-02	-7.149887e-02	-5.282569e-02
34	7.200596e+04	4.312565e+01	8.617828e-01	7.613539e-01	1.606343e-03	5.058661e-01	4.746673e-01	3.573182e-01	5.130900e-02	-7.114837e-02	-5.185206e-02
35	7.200592e+04	4.437776e+01	9.151978e-01	8.014792e-01	-1.192889e-03	5.069240e-01	4.741707e-01	3.609914e-01	4.806294e-02	-7.224270e-02	-5.155018e-02
36	7.200595e+04	4.562721e+01	9.659301e-01	8.378290e-01	8.892145e-04	5.078055e-01	4.736736e-01	3.630216e-01	4.607917e-02	-7.192370e-02	-5.046634e-02
37	7.200602e+04	4.687171e+01	1.013765e+00	8.709550e-01	-7.192664e-04	5.086426e-01	4.729511e-01	3.649844e-01	4.414618e-02	-7.239042e-02	-4.983351e-02
38	7.200611e+04	4.812513e+01	1.059580e+00	9.023080e-01	5.364076e-04	5.096796e-01	4.723868e-01	3.660682e-01	4.317459e-02	-7.208435e-02	-4.881615e-02
