Time (s)	9.600000e+03	dt_sampled - EXTRA_TIME	3.600000e+03
 i	 Vol	 Z	 Uavg	 Vavg	 Wavg	 Urms	 Vrms	 Wrms	 UVmean	 UWmean	 VWmean
0	6.299784e+04	6.250523e-01	2.736512e-01	-1.248816e-02	-6.570759e-02	7.520338e-01	7.868108e-01	1.969244e-01	3.365267e-03	-8.167742e-05	6.884985e-05
1	6.299783e+04	1.875121e+00	4.875474e-01	-1.198253e-02	2.820529e-02	6.699733e-01	6.771594e-01	3.328839e-01	2.232347e-03	-1.721377e-02	1.707886e-04
2	6.299784e+04	3.125299e+00	5.833798e-01	-1.114166e-02	-1.596328e-02	6.490101e-01	6.371650e-01	4.055541e-01	3.601761e-03	-2.709599e-02	-2.036831e-04
3	6.299784e+04	4.375255e+00	6.400152e-01	-1.108021e-02	1.110183e-02	6.498568e-01	6.129981e-01	4.481612e-01	3.944315e-03	-3.246145e-02	-3.317330e-04
4	6.299784e+04	5.625647e+00	6.736389e-01	-1.099237e-02	-6.905582e-03	6.538861e-01	5.983599e-01	4.768159e-01	3.533975e-03	-4.118979e-02	-4.902663e-04
5	6.299786e+04	6.875608e+00	6.940791e-01	-1.083829e-02	4.763572e-03	6.588980e-01	5.871891e-01	4.950697e-01	3.556516e-03	-4.585614e-02	-5.799470e-04
6	6.299783e+04	8.125446e+00	7.101626e-01	-1.098682e-02	-3.200196e-03	6.643855e-01	5.801998e-01	5.124642e-01	4.060719e-03	-5.341944e-02	-5.916063e-04
7	6.299782e+04	9.375257e+00	7.235184e-01	-1.196668e-02	2.275879e-03	6.705975e-01	5.763475e-01	5.249057e-01	4.745086e-03	-5.855206e-02	-5.727102e-04
8	6.299949e+04	1.062479e+01	7.368250e-01	-1.348444e-02	-1.542339e-03	6.775565e-01	5.748225e-01	5.374685e-01	5.138249e-03	-6.542302e-02	-4.506080e-04
9	6.299946e+04	1.187454e+01	7.512327e-01	-1.497363e-02	1.119235e-03	6.847414e-01	5.744449e-01	5.471952e-01	4.809578e-03	-7.084033e-02	-2.828720e-04
10	6.299949e+04	1.312445e+01	7.685197e-01	-1.640064e-02	-7.578036e-04	6.926476e-01	5.757147e-01	5.569913e-01	4.428760e-03	-7.734802e-02	-1.066624e-04
11	6.299938e+04	1.437473e+01	7.879209e-01	-1.736518e-02	5.653530e-04	7.013142e-01	5.785317e-01	5.650011e-01	4.587311e-03	-8.303232e-02	1.000813e-05
12	6.299890e+04	1.562502e+01	8.097910e-01	-1.793006e-02	-3.671996e-04	7.109581e-01	5.826565e-01	5.729399e-01	4.709512e-03	-8.938847e-02	8.749161e-05
13	6.299915e+04	1.687572e+01	8.332126e-01	-1.809358e-02	2.904883e-04	7.211717e-01	5.876110e-01	5.800412e-01	4.991627e-03	-9.540763e-02	2.051699e-04
14	6.299370e+04	1.812448e+01	8.578176e-01	-1.792084e-02	-1.917539e-04	7.315029e-01	5.929740e-01	5.873317e-01	5.328163e-03	-1.018940e-01	3.105026e-04
15	6.299370e+04	1.937678e+01	8.833517e-01	-1.758106e-02	1.634924e-04	7.420737e-01	5.987500e-01	5.943646e-01	5.046901e-03	-1.083252e-01	3.586238e-04
16	6.273099e+04	2.062250e+01	9.099940e-01	-1.679556e-02	-1.230710e-04	7.524784e-01	6.047791e-01	6.014962e-01	4.436473e-03	-1.150260e-01	5.052548e-04
17	6.273081e+04	2.186706e+01	9.379611e-01	-1.582300e-02	1.284109e-04	7.626716e-01	6.110313e-01	6.083863e-01	3.716032e-03	-1.219110e-01	6.082250e-04
18	6.276318e+04	2.311179e+01	9.680112e-01	-1.437934e-02	-7.267137e-05	7.733299e-01	6.173240e-01	6.151018e-01	3.009517e-03	-1.290549e-01	7.438996e-04
19	6.276320e+04	2.435723e+01	1.000087e+00	-1.246647e-02	9.857324e-05	7.841708e-01	6.234747e-01	6.216924e-01	2.669772e-03	-1.365113e-01	8.373390e-04
