Time (s)	9.600000e+03	dt_sampled - EXTRA_TIME	3.600000e+03
 i	 Vol	 Z	 Uavg	 Vavg	 Wavg	 Urms	 Vrms	 Wrms	 UVmean	 UWmean	 VWmean
0	6.299784e+04	6.250523e-01	2.492124e-01	8.476578e-03	-3.913017e-02	7.612640e-01	7.481751e-01	2.104496e-01	-6.290611e-03	-1.473620e-04	-2.696061e-04
1	6.299783e+04	1.875121e+00	4.701059e-01	1.073635e-02	1.562162e-02	6.745519e-01	6.620428e-01	3.416256e-01	-1.885659e-03	-1.507649e-02	1.216123e-04
2	6.299784e+04	3.125299e+00	5.695888e-01	1.209969e-02	-7.950175e-03	6.474670e-01	6.320264e-01	4.159080e-01	1.788853e-04	-2.422470e-02	-5.102275e-04
3	6.299784e+04	4.375255e+00	6.297710e-01	1.253382e-02	6.032320e-03	6.441109e-01	6.170263e-01	4.594895e-01	2.050018e-03	-2.782403e-02	-5.158568e-04
4	6.299784e+04	5.625647e+00	6.649072e-01	1.313883e-02	-3.650970e-03	6.447753e-01	6.079528e-01	4.882406e-01	3.746933e-03	-3.528590e-02	-9.273147e-04
5	6.299786e+04	6.875608e+00	6.867210e-01	1.356507e-02	2.586771e-03	6.462619e-01	6.006576e-01	5.076393e-01	4.362839e-03	-3.920526e-02	-1.113887e-03
6	6.299783e+04	8.125446e+00	7.025026e-01	1.453857e-02	-1.741999e-03	6.495957e-01	5.965991e-01	5.247909e-01	4.320631e-03	-4.605913e-02	-1.446009e-03
7	6.299782e+04	9.375257e+00	7.160597e-01	1.538337e-02	1.279394e-03	6.543219e-01	5.944754e-01	5.376040e-01	4.174090e-03	-5.097599e-02	-1.629763e-03
8	6.299949e+04	1.062479e+01	7.304445e-01	1.607730e-02	-8.505100e-04	6.603483e-01	5.942263e-01	5.498797e-01	3.930431e-03	-5.751574e-02	-1.789140e-03
9	6.299946e+04	1.187454e+01	7.459134e-01	1.650134e-02	6.444001e-04	6.665536e-01	5.955607e-01	5.599710e-01	3.998204e-03	-6.311755e-02	-1.897116e-03
10	6.299949e+04	1.312445e+01	7.635715e-01	1.701413e-02	-4.257095e-04	6.732139e-01	5.977813e-01	5.699399e-01	4.065619e-03	-6.972054e-02	-1.954137e-03
11	6.299938e+04	1.437473e+01	7.829670e-01	1.697032e-02	3.473984e-04	6.804616e-01	6.006091e-01	5.787377e-01	4.128092e-03	-7.590462e-02	-1.906326e-03
12	6.299890e+04	1.562502e+01	8.037388e-01	1.615384e-02	-2.139701e-04	6.881939e-01	6.040711e-01	5.874587e-01	4.134434e-03	-8.277240e-02	-1.855996e-03
13	6.299915e+04	1.687572e+01	8.261656e-01	1.440742e-02	1.790028e-04	6.965050e-01	6.077527e-01	5.955998e-01	3.852381e-03	-8.943286e-02	-1.751409e-03
